y,Ux,Uy,p
0.0,0.0,0.0,-0.0289888
1.37955e-05,-0.000188103,-2.69002e-08,-0.0289893
2.92331e-05,-0.000391524,-1.33948e-07,-0.0289896
4.65113e-05,-0.000617165,-3.55678e-07,-0.0289899
6.58528e-05,-0.000867204,-7.26345e-07,-0.0289902
8.75077e-05,-0.00114395,-1.29135e-06,-0.0289905
0.000111757,-0.00144985,-2.11146e-06,-0.0289909
0.000138915,-0.00178741,-3.26459e-06,-0.0289914
0.000169336,-0.00215923,-4.84964e-06,-0.0289919
0.000203417,-0.00256786,-6.99206e-06,-0.0289924
0.000241604,-0.00301578,-9.85076e-06,-0.028993
0.000284398,-0.00350527,-1.36267e-05,-0.0289937
0.000332361,-0.00403821,-1.85736e-05,-0.0289945
0.000386126,-0.00461593,-2.50112e-05,-0.0289954
0.000446401,-0.00523886,-3.33416e-05,-0.0289963
0.000513985,-0.00590623,-4.40701e-05,-0.0289974
0.000589773,-0.00661554,-5.78304e-05,-0.0289986
0.000674771,-0.00736192,-7.54155e-05,-0.0289999
0.000770111,-0.00813735,-9.78164e-05,-0.0290014
0.000877061,-0.00892956,-0.000126269,-0.029003
0.000997051,-0.00972074,-0.000162311,-0.0290048
0.00113168,-0.0104857,-0.00020785,-0.0290068
0.00128277,-0.0111899,-0.00026525,-0.029009
0.00145232,-0.0117862,-0.000337429,-0.0290114
0.00164263,-0.012212,-0.000427973,-0.029014
0.00185625,-0.012384,-0.000541281,-0.0290169
0.00209606,-0.0121932,-0.000682717,-0.0290201
0.0023653,-0.0114978,-0.000858795,-0.0290235
0.0026676,-0.0101142,-0.00107738,-0.0290273
0.00300706,-0.00780714,-0.0013479,-0.0290314
0.00338828,-0.00427605,-0.00168158,-0.029036
0.00381642,0.000859588,-0.00209167,-0.029041
0.0042973,0.00807824,-0.00259373,-0.0290465
0.00483747,0.017976,-0.00320603,-0.0290527
0.00544427,0.0306686,-0.00391578,-0.0290593
0.00602098,0.0454824,-0.00467624,-0.0290661
0.00660124,0.0621411,-0.00547261,-0.029073
0.00718535,0.0807982,-0.00631215,-0.0290802
0.00777365,0.101405,-0.00719142,-0.0290878
0.00836651,0.123904,-0.00810711,-0.0290958
0.00896431,0.148236,-0.00905603,-0.0291042
0.00956749,0.174332,-0.0100349,-0.0291133
0.0101765,0.20212,-0.0110405,-0.029123
0.0107919,0.231519,-0.0120692,-0.0291335
0.0114142,0.262443,-0.0131173,-0.0291449
0.012044,0.294798,-0.0141808,-0.0291573
0.0126819,0.328484,-0.0152555,-0.0291709
0.0133287,0.36339,-0.016337,-0.0291859
0.0139851,0.39867,-0.0173975,-0.0292018
0.0145992,0.433658,-0.0184182,-0.0292188
0.0152409,0.469414,-0.0194328,-0.0292377
0.0159119,0.506808,-0.0204641,-0.0292589
0.016614,0.545726,-0.0215049,-0.0292829
0.0173491,0.58601,-0.0225482,-0.02931
0.018119,0.627461,-0.0235863,-0.0293407
0.0189258,0.669839,-0.0246112,-0.0293754
0.0197718,0.712867,-0.0256148,-0.0294145
0.0206593,0.756237,-0.0265887,-0.0294584
0.0215907,0.799621,-0.0275248,-0.0295075
0.0225687,0.842675,-0.0284147,-0.0295622
0.023596,0.885046,-0.0292523,-0.0296234
0.0246755,0.927732,-0.0300552,-0.0296941
0.0259626,0.971564,-0.0308264,-0.0297767
0.0273361,1.01459,-0.0315179,-0.0298709
0.0288025,1.05499,-0.0320956,-0.0299755
0.030369,1.09213,-0.0325461,-0.0300907
0.0320431,1.1254,-0.032857,-0.0302166
0.033833,1.15431,-0.0330197,-0.0303529
0.0357475,1.1784,-0.0330304,-0.0304986
0.0377646,1.19747,-0.0328955,-0.0306524
0.0399122,1.21178,-0.0326279,-0.0308137
0.0422027,1.22182,-0.0322439,-0.0309819
0.0446494,1.22827,-0.0317641,-0.0311563
0.0472662,1.23195,-0.0312109,-0.0313361
0.0500679,1.23374,-0.0306048,-0.0315207
0.05307,1.23444,-0.0299628,-0.0317101
0.0562894,1.23464,-0.0292938,-0.0319039
0.0597436,1.23467,-0.0286038,-0.0321025
0.0634517,1.23451,-0.0278868,-0.0323056
0.0674339,1.23372,-0.0271382,-0.0325147
0.0717118,1.23092,-0.0263193,-0.0327291
0.0763087,1.22282,-0.0253756,-0.0329506
0.0812495,1.20122,-0.0240983,-0.0331807
0.0865609,1.14884,-0.0220958,-0.0334109
0.0922714,1.05051,-0.0190265,-0.0336005
0.0960782,0.925537,-0.0155463,-0.0337237
0.0992295,0.792335,-0.0122816,-0.0338034
