y,Ux,Uy,p
0.0,0.0,0.0,-0.0206592
1.60573e-05,-6.70631e-05,-3.01096e-08,-0.0206617
3.39444e-05,-0.000138121,-1.8266e-07,-0.020662
5.38753e-05,-0.0002151,-5.05799e-07,-0.0206623
7.6089e-05,-0.000298163,-1.04374e-06,-0.0206627
0.000100853,-0.00038736,-1.858e-06,-0.0206631
0.000128468,-0.000482585,-3.0318e-06,-0.0206635
0.000159269,-0.000583519,-4.67094e-06,-0.020664
0.000193631,-0.000689549,-6.90837e-06,-0.0206646
0.000231976,-0.000799673,-9.91121e-06,-0.0206652
0.000274776,-0.000912373,-1.38894e-05,-0.0206659
0.000322558,-0.00102545,-1.91062e-05,-0.0206667
0.000375915,-0.00113582,-2.58913e-05,-0.0206676
0.00043551,-0.00123924,-3.46565e-05,-0.0206686
0.000502087,-0.00133002,-4.59154e-05,-0.0206697
0.000576479,-0.00140051,-6.03076e-05,-0.0206709
0.000659623,-0.00144063,-7.86282e-05,-0.0206723
0.000752564,-0.00143719,-0.000101863,-0.0206738
0.00085648,-0.00137297,-0.000131233,-0.0206755
0.000972688,-0.00122566,-0.000168245,-0.0206773
0.00110267,-0.000966477,-0.000214755,-0.0206793
0.00124808,-0.000558422,-0.000273042,-0.0206815
0.00141078,4.59191e-05,-0.000345896,-0.0206839
0.00159286,0.000907132,-0.000436717,-0.0206866
0.00179667,0.00210244,-0.000549634,-0.0206895
0.00202483,0.00373004,-0.000689632,-0.0206926
0.0022803,0.00591453,-0.000862702,-0.020696
0.00256639,0.00881364,-0.00107598,-0.0206996
0.00288683,0.0126266,-0.00133794,-0.0207036
0.00324579,0.0176041,-0.00165847,-0.0207079
0.00364796,0.0240612,-0.00204907,-0.0207125
0.00409862,0.0323913,-0.00252289,-0.0207176
0.00460367,0.0430834,-0.00309499,-0.0207233
0.00516977,0.0567407,-0.00378269,-0.0207297
0.00580438,0.0733579,-0.00456953,-0.0207367
0.00641289,0.0920922,-0.00540453,-0.020744
0.00702859,0.11268,-0.00627229,-0.0207519
0.00765211,0.135351,-0.00718021,-0.0207606
0.00828413,0.160089,-0.00812422,-0.0207702
0.00892537,0.186867,-0.00910044,-0.020781
0.00957665,0.215646,-0.0101052,-0.0207931
0.0102388,0.246374,-0.011135,-0.0208069
0.0109129,0.278983,-0.012186,-0.0208226
0.0115998,0.313394,-0.0132543,-0.0208406
0.0123007,0.349511,-0.0143358,-0.0208611
0.0130168,0.387221,-0.015426,-0.0208847
0.0137495,0.426391,-0.0165201,-0.0209119
0.0145001,0.466871,-0.0176131,-0.020943
0.0152702,0.507742,-0.0186778,-0.0209775
0.0160061,0.548114,-0.019693,-0.0210157
0.0167682,0.588658,-0.0206812,-0.0210586
0.017558,0.629966,-0.021657,-0.0211073
0.0183772,0.671804,-0.022612,-0.0211624
0.0192275,0.713912,-0.0235399,-0.0212247
0.0201109,0.756017,-0.0244346,-0.0212949
0.0210292,0.797834,-0.02529,-0.0213736
0.0219845,0.839072,-0.0261004,-0.0214615
0.022979,0.879445,-0.0268601,-0.0215593
0.0240151,0.918665,-0.0275635,-0.0216674
0.0250953,0.956452,-0.028205,-0.0217865
0.0262221,0.99253,-0.0287805,-0.0219173
0.0273983,1.02758,-0.0292997,-0.022065
0.0287709,1.06208,-0.0297595,-0.0222345
0.0302252,1.09459,-0.0301292,-0.0224245
0.0317675,1.12383,-0.030392,-0.0226318
0.0334043,1.14948,-0.0305443,-0.0228565
0.035143,1.1713,-0.0305838,-0.0230984
0.0369913,1.18919,-0.0305112,-0.0233567
0.0389573,1.20312,-0.0303342,-0.0236286
0.0409878,1.21329,-0.0300695,-0.0239109
0.0431273,1.22031,-0.0297318,-0.0242028
0.0453892,1.22482,-0.0293333,-0.0245054
0.0477877,1.22746,-0.0288877,-0.0248187
0.0503372,1.22883,-0.0284065,-0.0251428
0.0530528,1.22947,-0.0278979,-0.025478
0.0559504,1.22975,-0.0273668,-0.0258249
0.0590466,1.22989,-0.0268139,-0.0261839
0.0623591,1.22989,-0.0262369,-0.026556
0.0659064,1.22945,-0.0256254,-0.0269417
0.0697084,1.22771,-0.0249638,-0.0273422
0.073786,1.22272,-0.0242046,-0.027757
0.0781617,1.21005,-0.0232586,-0.0281857
0.0828595,1.1802,-0.0219085,-0.0286243
0.0879051,1.11537,-0.0197888,-0.0290546
0.0933258,1.0031,-0.0166236,-0.0294027
0.0969433,0.868091,-0.0131831,-0.0296169
0.0999389,0.731915,-0.0101227,-0.029742
0.10242,0.603675,-0.00749655,-0.0298154
0.104474,0.490567,-0.00537652,-0.0298596
0.106175,0.395309,-0.00378048,-0.0298859
0.107584,0.317362,-0.00262005,-0.0299025
0.108751,0.254609,-0.00179992,-0.0299135
0.109718,0.204478,-0.00122942,-0.0299213
0.110519,0.164522,-0.00083651,-0.0299271
0.111182,0.13265,-0.000567542,-0.0299315
0.111731,0.107157,-0.00038411,-0.029935
0.112187,0.0866961,-0.00025932,-0.0299378
0.112564,0.0702111,-0.000174581,-0.02994
0.112876,0.0568803,-0.000117131,-0.0299419
0.113135,0.0460627,-7.82524e-05,-0.0299434
0.11335,0.0372567,-5.19973e-05,-0.0299447
0.113528,0.0300682,-3.43158e-05,-0.0299457
0.113675,0.0241856,-2.24503e-05,-0.0299466
0.113798,0.0193614,-1.45245e-05,-0.0299473
0.113899,0.0153979,-9.26234e-06,-0.0299479
0.113983,0.0121364,-5.79644e-06,-0.0299484
0.114053,0.00944882,-3.5378e-06,-0.0299488
0.11411,0.00723163,-2.087e-06,-0.0299491
0.114158,0.00540064,-1.17369e-06,-0.0299494
0.114198,0.00388725,-6.15425e-07,-0.0299496
0.114231,0.00263542,-2.89698e-07,-0.0299498
0.114258,0.00159923,-1.14321e-07,-0.02995
0.114281,0.000741041,-3.13953e-08,-0.0299501
0.1143,0.0,0.0,-0.0299504
