y,Ux,Uy,p
0.0,0.0,0.0,-0.0585275
1.15903e-05,-0.000320735,8.4008e-09,-0.0585275
2.51959e-05,-0.000682816,2.91135e-08,-0.0585275
4.11938e-05,-0.00110694,7.06762e-08,-0.0585275
6.0036e-05,-0.0016042,1.44414e-07,-0.0585274
8.22644e-05,-0.00218766,2.65231e-07,-0.0585273
0.00010853,-0.00287266,4.54082e-07,-0.0585272
0.000139617,-0.00367715,7.40531e-07,-0.0585271
0.000176466,-0.004622,1.1659e-06,-0.058527
0.000220213,-0.00573134,1.78747e-06,-0.0585268
0.000272229,-0.00703279,2.6839e-06,-0.0585267
0.000334164,-0.00855756,3.96199e-06,-0.0585265
0.000408017,-0.0103403,5.76443e-06,-0.0585263
0.000496201,-0.0124184,8.2777e-06,-0.0585261
0.000601635,-0.0148306,1.17375e-05,-0.0585259
0.000727854,-0.0176148,1.64267e-05,-0.0585257
0.000879141,-0.0208031,2.26534e-05,-0.0585256
0.00106069,-0.0244146,3.06897e-05,-0.0585255
0.00127878,-0.0284437,4.06276e-05,-0.0585255
0.00154107,-0.0328417,5.20817e-05,-0.0585259
0.00185682,-0.0374882,6.35934e-05,-0.0585266
0.0022373,-0.0421478,7.14389e-05,-0.0585281
0.00269619,-0.046405,6.73109e-05,-0.0585307
0.00325013,-0.0495686,3.50354e-05,-0.0585349
0.00391934,-0.0505746,-4.22679e-05,-0.0585401
0.00447964,-0.0492011,-0.000159731,-0.0585455
0.00498729,-0.0461274,-0.000306154,-0.0585513
0.00545308,-0.041794,-0.000480142,-0.0585571
0.0058867,-0.0364781,-0.000679491,-0.0585629
0.00629695,-0.0303285,-0.000903395,-0.0585687
0.00669189,-0.0233952,-0.0011529,-0.0585743
0.00707907,-0.0156485,-0.00143097,-0.0585797
0.00746565,-0.00699075,-0.00174242,-0.0585851
0.00785851,0.00273837,-0.00209411,-0.0585903
0.00826444,0.0133852,-0.00248153,-0.0585952
0.00863691,0.0244244,-0.00288621,-0.0585997
0.00899519,0.0356838,-0.0033017,-0.0586035
0.0093413,0.0472541,-0.00373087,-0.0586066
0.00967694,0.0591171,-0.00417255,-0.0586093
0.0100036,0.0712625,-0.00462578,-0.0586113
0.0103226,0.0836846,-0.00508971,-0.0586128
0.0106349,0.0963815,-0.00556355,-0.0586138
0.0109416,0.109353,-0.00604653,-0.0586142
0.0112433,0.122601,-0.00653787,-0.0586141
0.0115409,0.136126,-0.00703679,-0.0586134
0.0118349,0.149929,-0.00754243,-0.0586122
0.0121258,0.16401,-0.00805388,-0.0586105
0.012414,0.178369,-0.0085702,-0.0586083
0.0127,0.192675,-0.00907882,-0.0586056
0.0129587,0.206817,-0.00957545,-0.0586024
0.0132347,0.221638,-0.0100888,-0.0585986
0.0135296,0.237831,-0.0106407,-0.058594
0.0138449,0.255537,-0.011233,-0.0585883
0.0141825,0.274912,-0.0118672,-0.0585813
0.0145445,0.296124,-0.0125444,-0.0585729
0.0149331,0.319353,-0.0132651,-0.0585627
0.0153511,0.344786,-0.0140288,-0.0585503
0.0158015,0.372611,-0.0148342,-0.0585351
0.0162878,0.403011,-0.0156789,-0.0585166
0.016814,0.436152,-0.0165592,-0.058494
0.0173849,0.472169,-0.0174709,-0.0584662
0.018006,0.512398,-0.0184388,-0.0584308
0.0187638,0.558254,-0.0194846,-0.0583839
0.0196001,0.608716,-0.0205738,-0.0583226
0.0205255,0.662502,-0.0216743,-0.0582442
0.0215519,0.719275,-0.0227794,-0.058144
0.0226935,0.77861,-0.0238794,-0.0580163
0.023967,0.839952,-0.0249588,-0.0578541
0.0253917,0.90253,-0.0259925,-0.057649
0.0269906,0.965228,-0.0269445,-0.0573914
0.0287908,1.02648,-0.027769,-0.05707
0.0308242,1.08423,-0.0284127,-0.056673
0.033129,1.13602,-0.0288199,-0.0561883
0.0357502,1.17935,-0.0289417,-0.0556056
0.0387416,1.21217,-0.028752,-0.0549174
0.042167,1.23372,-0.0282642,-0.0541213
0.0461029,1.24519,-0.0275407,-0.0532204
0.0506405,1.2495,-0.0266695,-0.052223
0.0558892,1.25007,-0.0257415,-0.0511686
0.061146,1.24944,-0.0248649,-0.0501484
0.0665609,1.24825,-0.02402,-0.049168
0.0721458,1.24527,-0.0231949,-0.0482327
0.0779136,1.23614,-0.0222669,-0.0473286
0.0839163,1.2089,-0.0209706,-0.0464976
0.0895906,1.1498,-0.0190958,-0.0458195
0.0938129,1.05968,-0.0166851,-0.0453577
0.0973169,0.947143,-0.014044,-0.045082
0.100225,0.824599,-0.0114351,-0.0449118
0.102638,0.703501,-0.00902093,-0.0448195
0.10464,0.59125,-0.00693491,-0.0447699
0.106302,0.491633,-0.00520385,-0.0447473
0.107682,0.405865,-0.00383037,-0.0447383
0.108826,0.333538,-0.00277291,-0.0447368
0.109776,0.273364,-0.0019811,-0.0447389
0.110564,0.22371,-0.00139985,-0.0447425
0.111219,0.182914,-0.000979994,-0.0447465
0.111762,0.149461,-0.000680473,-0.0447505
0.112212,0.122038,-0.000468942,-0.0447542
0.112586,0.0995442,-0.000320802,-0.0447576
0.112897,0.0810748,-0.000217811,-0.0447605
0.113154,0.0658912,-0.000146688,-0.044763
