y,Ux,Uy,p
0.0,0.0,0.0,-0.0660275
1.16038e-05,-0.000249311,3.88904e-08,-0.0660274
2.5503e-05,-0.000535467,1.60227e-07,-0.0660271
4.21714e-05,-0.000877508,4.23679e-07,-0.0660268
6.21837e-05,-0.00128653,9.10325e-07,-0.0660263
8.6237e-05,-0.00177577,1.73745e-06,-0.0660257
0.000115177,-0.00236096,3.07972e-06,-0.0660251
0.000150032,-0.00306075,5.19494e-06,-0.0660243
0.000192049,-0.00389704,8.46088e-06,-0.0660234
0.000242745,-0.00489546,1.34288e-05,-0.0660223
0.000303965,-0.00608561,2.08993e-05,-0.066021
0.00037795,-0.00750128,3.20299e-05,-0.0660195
0.00046743,-0.00918024,4.84838e-05,-0.0660177
0.000575724,-0.0111636,7.26342e-05,-0.0660157
0.000706877,-0.0134941,0.000107836,-0.0660133
0.00086581,-0.0162132,0.000158778,-0.0660105
0.00105852,-0.0193551,0.000231904,-0.0660075
0.00129231,-0.0229378,0.000335877,-0.0660042
0.00157607,-0.0269468,0.000481962,-0.0660009
0.00192067,-0.0313106,0.000684067,-0.0659978
0.00233931,-0.0358589,0.000957882,-0.0659956
0.00284812,-0.0402587,0.00131791,-0.0659953
0.00346676,-0.0439125,0.00177015,-0.0659984
0.00421919,-0.0458002,0.00229816,-0.0660073
0.00513467,-0.0445837,0.00279068,-0.066022
0.00587565,-0.040404,0.00311795,-0.0660391
0.00652515,-0.0344495,0.00326965,-0.0660556
0.00709776,-0.0273533,0.00328454,-0.0660708
0.00760626,-0.0195768,0.00319268,-0.0660839
0.00806181,-0.0114097,0.00301976,-0.0660949
0.00847431,-0.00301664,0.00278556,-0.0661038
0.00885252,0.00553029,0.00250401,-0.066111
0.00920431,0.014228,0.00218391,-0.0661166
0.00953684,0.0231271,0.00182962,-0.0661209
0.00985666,0.0321253,0.00145027,-0.0661239
0.0101432,0.0409473,0.00106246,-0.0661257
0.0104085,0.0495211,0.000674207,-0.0661265
0.0106555,0.0579147,0.000286226,-0.0661265
0.0108868,0.0661406,-9.93316e-05,-0.0661259
0.0111047,0.0742163,-0.000481181,-0.0661247
0.011311,0.0821617,-0.000858635,-0.066123
0.0115073,0.0899979,-0.00123141,-0.0661209
0.0116952,0.0977461,-0.0015995,-0.0661184
0.0118757,0.105427,-0.00196305,-0.0661157
0.0120499,0.11306,-0.0023223,-0.0661127
0.0122188,0.120665,-0.00267753,-0.0661094
0.012383,0.128257,-0.00302903,-0.0661059
0.0125432,0.135852,-0.00337705,-0.0661022
0.0127,0.143326,-0.0037156,-0.0660984
0.0128426,0.150715,-0.00404621,-0.0660945
0.0129967,0.158538,-0.00439149,-0.0660901
0.0131635,0.167203,-0.00476781,-0.0660851
0.0133446,0.176835,-0.00517828,-0.0660794
0.0135418,0.187582,-0.00562614,-0.0660727
0.0137571,0.199622,-0.00611479,-0.066065
0.013993,0.213166,-0.00664757,-0.066056
0.0142522,0.228462,-0.00722755,-0.0660456
0.0145382,0.245804,-0.00785721,-0.0660333
0.0148549,0.265536,-0.008538,-0.0660188
0.015207,0.288053,-0.0092698,-0.0660016
0.0156001,0.313796,-0.0100503,-0.065981
0.0160408,0.343917,-0.0108929,-0.0659553
0.0165772,0.379724,-0.0118056,-0.0659223
0.0171859,0.421243,-0.0127605,-0.0658798
0.0178791,0.468235,-0.0137333,-0.0658248
0.0186712,0.520855,-0.014722,-0.0657522
0.0195793,0.579103,-0.0157338,-0.0656551
0.0206241,0.642876,-0.016781,-0.0655242
0.0218301,0.711988,-0.0178686,-0.0653475
0.0232267,0.786032,-0.018983,-0.0651092
0.0248493,0.864072,-0.0200878,-0.0647887
0.02674,0.94426,-0.0211257,-0.0643597
0.0289496,1.0235,-0.0220189,-0.0637909
0.0315392,1.09731,-0.0226737,-0.063048
0.0345821,1.16026,-0.0229999,-0.0620996
0.0381665,1.20734,-0.022946,-0.0609259
0.0423987,1.23633,-0.0225532,-0.0595316
0.0474067,1.24969,-0.0219487,-0.0579449
0.0533446,1.25332,-0.0212743,-0.0562723
0.059148,1.25312,-0.0206528,-0.0547094
0.0650305,1.25194,-0.0200694,-0.0532659
0.0709979,1.24943,-0.01951,-0.0519302
0.0770568,1.24224,-0.0188888,-0.0506776
0.0832712,1.22036,-0.0179971,-0.0495516
0.0887813,1.17141,-0.0166532,-0.0486557
0.0931161,1.09179,-0.0148021,-0.0480275
0.0967179,0.987243,-0.0126539,-0.0476275
0.0997107,0.869501,-0.0104606,-0.0473752
0.102197,0.750189,-0.00838747,-0.0472294
0.104264,0.637331,-0.00655569,-0.0471475
0.105981,0.535374,-0.00500428,-0.0471052
0.107407,0.446132,-0.00374391,-0.0470848
0.108593,0.369721,-0.00275187,-0.0470766
0.109578,0.305272,-0.00199298,-0.0470748
0.110396,0.251439,-0.00142526,-0.0470761
0.111076,0.206742,-0.00100827,-0.0470787
0.111641,0.169754,-0.000706488,-0.047082
0.112111,0.139193,-0.000490715,-0.0470853
0.112501,0.113956,-0.000338,-0.0470883
0.112825,0.0931118,-0.000230864,-0.0470911
0.113095,0.0758888,-0.000156297,-0.0470935
0.113319,0.0616488,-0.000104788,-0.0470957
0.113505,0.0498678,-6.94717e-05,-0.0470975
0.113659,0.0401149,-4.54484e-05,-0.047099
0.113788,0.0320366,-2.92504e-05,-0.0471004
0.113894,0.0253419,-1.84408e-05,-0.0471015
0.113983,0.0197914,-1.13178e-05,-0.0471025
0.114057,0.0151879,-6.69955e-06,-0.0471033
0.114118,0.0113685,-3.7696e-06,-0.0471039
0.114169,0.00819877,-1.96704e-06,-0.0471045
0.114211,0.0055677,-9.09605e-07,-0.047105
0.114247,0.00338329,-3.39868e-07,-0.0471054
0.114276,0.00156944,-8.03023e-08,-0.0471057
0.1143,0.0,0.0,-0.0471058
