y,p,Ux,Uy,Uz
0.0,0.688756,0.0,0.0,0.0
1.1591e-05,0.688751,0.000316211,-4.06707e-08,-1.0715e-27
2.52112e-05,0.688741,0.000674719,-1.69006e-07,9.41278e-26
4.12427e-05,0.688728,0.00109678,-4.42263e-07,-3.10593e-25
6.01434e-05,0.688713,0.00159448,-9.34484e-07,-6.10797e-26
8.2463e-05,0.688695,0.00218235,-1.75006e-06,-1.82235e-26
0.000108863,0.688674,0.00287785,-3.04128e-06,-1.44301e-24
0.000140137,0.68865,0.003702,-5.02834e-06,3.27239e-24
0.000177245,0.688621,0.00468017,-8.02836e-06,1.30877e-24
0.00022134,0.688587,0.0058429,-1.24976e-05,-1.31328e-23
0.000273815,0.688546,0.00722713,-1.90923e-05,1.92038e-24
0.000336354,0.688498,0.0088775,-2.87564e-05,1.2011e-23
0.000410988,0.68844,0.010848,-4.28473e-05,-9.72067e-24
0.000500177,0.688371,0.0132042,-6.33174e-05,8.35529e-23
0.000606897,0.68829,0.0160253,-9.29735e-05,9.28583e-23
0.000734752,0.688194,0.0194078,-0.000135851,-1.16027e-22
0.00088811,0.688079,0.0234688,-0.000197747,-1.15612e-22
0.00107227,0.687943,0.0283508,-0.000286983,-5.60891e-22
0.00129365,0.687782,0.0342279,-0.000415485,3.20098e-22
0.00156005,0.687592,0.0413122,-0.000600311,-5.33963e-22
0.00188095,0.687368,0.0498641,-0.000865786,-1.12127e-21
0.00226784,0.687106,0.0602029,-0.00124645,-3.29693e-21
0.00273472,0.686799,0.0727227,-0.00179108,5.22681e-21
0.00329858,0.686443,0.0879118,-0.00256795,2.52532e-21
0.0039801,0.686075,0.104668,-0.0035616,-3.56365e-21
0.00454944,0.685749,0.120434,-0.00461655,-9.11326e-22
0.00506418,0.685472,0.134495,-0.00564648,-5.01307e-21
0.00553532,0.685229,0.147437,-0.00666238,7.76245e-21
0.00597268,0.68501,0.159518,-0.00766436,4.75598e-21
0.00638519,0.684811,0.170972,-0.00865828,2.8939e-21
0.00678101,0.684625,0.182021,-0.00965394,1.29684e-22
0.00716775,0.684448,0.192873,-0.010664,-3.42334e-23
0.00755258,0.684277,0.203728,-0.0117034,-1.27859e-21
0.00794242,0.684107,0.214786,-0.0127889,-1.25551e-20
0.00834405,0.683942,0.225873,-0.0139016,-1.36316e-22
0.00871222,0.683787,0.236526,-0.0149909,1.29301e-20
0.00906586,0.683643,0.2467,-0.0160475,2.46426e-21
0.00940701,0.683506,0.256567,-0.0170852,-7.51019e-21
0.00973744,0.683375,0.266174,-0.0181064,-4.14187e-21
0.0100587,0.68325,0.27556,-0.0191128,4.50294e-22
0.010372,0.683129,0.284761,-0.0201062,5.68212e-22
0.0106785,0.683011,0.293808,-0.0210884,1.85787e-21
0.0109792,0.682896,0.302725,-0.0220608,1.35248e-21
0.0112749,0.682785,0.311536,-0.0230245,-2.38038e-21
0.0115664,0.682675,0.320261,-0.0239807,1.89077e-21
0.0118541,0.682567,0.328915,-0.0249302,-1.13792e-22
0.0121386,0.68246,0.337514,-0.0258738,-1.01436e-21
0.0124205,0.682354,0.346069,-0.026812,1.14853e-22
0.0127,0.682252,0.354403,-0.0277246,3.86056e-22
0.0129529,0.682153,0.362479,-0.028607,-3.91009e-22
0.0132228,0.682052,0.370789,-0.0295126,-1.71131e-22
0.0135113,0.681943,0.37971,-0.0304812,6.63748e-22
0.0138199,0.681826,0.389298,-0.0315175,-1.84503e-21
0.0141505,0.6817,0.399622,-0.0326267,2.34356e-21
0.0145051,0.681564,0.410755,-0.0338143,5.28684e-21
0.0148861,0.681417,0.422782,-0.0350863,-6.90309e-22
0.0152961,0.681256,0.435804,-0.0364487,-3.80252e-21
0.0157383,0.681081,0.449932,-0.0379082,2.52298e-21
0.0162161,0.680888,0.465298,-0.0394714,-2.35738e-22
0.0167337,0.680676,0.482053,-0.041145,2.28268e-22
0.0172957,0.68044,0.500373,-0.0429357,-3.58619e-21
0.0179077,0.680168,0.521101,-0.0449093,-5.48053e-21
0.0186544,0.679844,0.545257,-0.0471351,-6.96763e-21
0.0194794,0.679464,0.572735,-0.0495661,1.42769e-22
0.0203932,0.679027,0.603371,-0.0521446,3.51158e-20
0.0214079,0.67852,0.637578,-0.0548551,1.24071e-20
0.0225378,0.677928,0.675807,-0.05767,-2.42075e-20
0.0237998,0.677234,0.718533,-0.0605467,-1.19737e-20
0.0252136,0.676418,0.766228,-0.0634233,0.0
0.0268024,0.675456,0.819317,-0.0662155,-2.40206e-23
0.0285937,0.674326,0.878103,-0.0688144,9.65799e-21
0.03062,0.673003,0.942654,-0.0710881,7.90246e-22
0.0329201,0.671468,1.01265,-0.0728866,-8.86093e-21
0.0355397,0.66971,1.08718,-0.0740516,0.0
0.0385336,0.667725,1.1645,-0.0744306,-3.61688e-21
0.041967,0.665546,1.24174,-0.073872,5.02721e-21
0.0459177,0.663174,1.31455,-0.0722371,2.0153e-21
0.0504788,0.660748,1.37652,-0.0692912,-4.62338e-21
0.0557619,0.658258,1.41755,-0.0649306,1.7719e-21
0.0610461,0.655914,1.42883,-0.0595668,-6.12105e-22
0.0664844,0.653915,1.40778,-0.0532742,-7.05205e-22
0.0720884,0.652081,1.35201,-0.0460665,-1.67264e-21
0.0778708,0.650565,1.2588,-0.0379975,6.35226e-22
