y,p,Ux,Uy,Uz
0.0,0.680659,0.0,0.0,0.0
1.15774e-05,0.680656,0.000427064,-2.14921e-08,-1.98637e-26
2.49042e-05,0.680651,0.000903216,-8.73558e-08,9.46274e-26
4.02652e-05,0.680644,0.00145201,-2.23276e-07,-1.04448e-25
5.79956e-05,0.680637,0.00208538,-4.60332e-07,-8.82026e-26
7.84904e-05,0.680628,0.00281741,-8.40185e-07,6.57071e-25
0.000102215,0.680618,0.00366468,-1.42124e-06,-8.37295e-26
0.000129722,0.680607,0.00464677,-2.28462e-06,2.43461e-24
0.000161661,0.680593,0.00578686,-3.54256e-06,-7.57833e-24
0.000198808,0.680578,0.00711238,-5.35028e-06,-1.06228e-23
0.000242079,0.68056,0.00865587,-7.9227e-06,6.09263e-25
0.000292568,0.680539,0.0104559,-1.15577e-05,3.35972e-23
0.000351576,0.680515,0.0125585,-1.66685e-05,-1.95308e-23
0.000420653,0.680487,0.0150182,-2.38293e-05,-2.17767e-23
0.000501655,0.680453,0.0179002,-3.38384e-05,-4.12258e-23
0.000596796,0.680414,0.0212818,-4.78081e-05,1.24326e-23
0.000708733,0.680369,0.0252557,-6.72897e-05,-2.0369e-23
0.000840647,0.680316,0.0299321,-9.4449e-05,1.80379e-23
0.000996357,0.680254,0.0354428,-0.000132314,1.22811e-22
0.00118045,0.680181,0.041945,-0.000185119,0.0
0.00139846,0.680095,0.0496264,-0.000258792,0.0
0.00165702,0.679996,0.0587109,-0.00036163,9.65979e-23
0.00196415,0.679879,0.0694655,-0.000505231,1.96839e-21
0.00232951,0.679744,0.0822083,-0.000705799,-2.54869e-22
0.00276477,0.679597,0.0961974,-0.000963613,-2.12756e-21
0.00315342,0.679456,0.109784,-0.0012513,0.0
0.00352632,0.679326,0.122572,-0.00155512,-2.56123e-22
0.00389063,0.679203,0.135011,-0.00188099,2.11206e-21
0.00425313,0.679082,0.147337,-0.00223292,-7.71028e-21
0.00462033,0.678962,0.159772,-0.00261675,-1.94672e-21
0.0049986,0.67884,0.17253,-0.00304008,7.81423e-21
0.00539431,0.678716,0.185823,-0.00351231,-4.35984e-21
0.00581391,0.678587,0.199859,-0.00404475,5.1551e-21
0.00626409,0.678451,0.214854,-0.00465089,-1.88979e-22
0.00675183,0.678313,0.230383,-0.00531793,-4.6002e-23
0.00720591,0.67818,0.245541,-0.00600635,2.09147e-22
0.00765255,0.678053,0.260191,-0.00670538,-6.87617e-21
0.00809279,0.67793,0.27458,-0.00742284,4.32302e-21
