y,p,Ux,Uy,Uz
0.0,0.611192,0.0,0.0,0.0
1.16106e-05,0.611184,-6.35044e-05,-7.38122e-08,0.0
2.56565e-05,0.611164,-0.000136545,-3.16843e-07,0.0
4.26602e-05,0.611139,-0.000224061,-8.56586e-07,-2.21011e-25
6.32576e-05,0.61111,-0.000328743,-1.86995e-06,4.67541e-26
8.82233e-05,0.611075,-0.000453669,-3.61966e-06,-8.61802e-25
0.000118501,0.611032,-0.0006023,-6.50453e-06,2.40998e-25
0.00015524,0.61098,-0.000778418,-1.11237e-05,4.6969e-24
0.000199841,0.610918,-0.000986001,-1.83718e-05,-9.94798e-24
0.000254011,0.610843,-0.00122897,-2.95803e-05,9.17484e-24
0.000319833,0.610753,-0.00151071,-4.67252e-05,8.8161e-24
0.000399843,0.610644,-0.00183336,-7.27318e-05,-4.66794e-23
0.000497136,0.610513,-0.00219652,-0.000111921,6.98239e-24
0.000615486,0.610356,-0.0025954,-0.000170657,2.79165e-23
0.000759498,0.610169,-0.00301771,-0.000258304,1.70988e-23
0.000934787,0.609945,-0.00343917,-0.000388602,1.16666e-23
0.00114821,0.609679,-0.00381654,-0.000581692,-1.75468e-23
0.00140812,0.609363,-0.0040772,-0.000867068,0.0
0.00172472,0.608992,-0.00410373,-0.00128792,0.0
0.00211046,0.608555,-0.00371075,-0.0019076,1.33765e-22
0.00258055,0.608046,-0.00261066,-0.00281932,-1.67952e-22
0.00315353,0.607456,-0.000361867,-0.00416093,-5.06316e-21
0.00385204,0.606777,0.00371037,-0.00613772,-2.33333e-21
0.00470373,0.606009,0.0106387,-0.0090558,5.13951e-21
0.00574233,0.605268,0.0206935,-0.0128814,3.40841e-21
0.00657366,0.604693,0.0321171,-0.0169222,4.66762e-21
0.00729408,0.604278,0.0435316,-0.0207424,-1.02933e-21
0.0079201,0.603979,0.0547767,-0.0243368,-4.40362e-21
0.00846603,0.60377,0.0656098,-0.0276596,1.14215e-21
0.00894425,0.603631,0.0758974,-0.0306972,3.90223e-23
0.00936552,0.603543,0.0855841,-0.0334573,-7.66294e-21
0.00973924,0.603492,0.0946703,-0.0359612,-6.00126e-22
0.0100736,0.60347,0.103195,-0.0382374,9.57771e-21
0.010376,0.603469,0.111222,-0.0403177,-4.91755e-21
0.0106528,0.603482,0.118743,-0.0422124,-1.42895e-21
0.0108964,0.603505,0.125674,-0.0439131,2.28569e-21
0.0111152,0.603535,0.132038,-0.0454367,-1.88428e-21
0.0113126,0.603571,0.137916,-0.046812,1.2737e-21
0.0114918,0.60361,0.143358,-0.0480583,-8.725e-23
0.0116552,0.60365,0.148412,-0.049193,1.77022e-21
0.0118052,0.603691,0.153123,-0.0502312,1.79492e-22
0.0119436,0.603734,0.157533,-0.051186,-7.18471e-22
0.012072,0.603776,0.161679,-0.0520688,-1.14295e-22
0.0121919,0.603818,0.165595,-0.0528897,0.0
0.0123044,0.603859,0.169312,-0.0536572,2.40691e-22
0.0124107,0.603901,0.172856,-0.0543785,-1.19974e-22
0.0125116,0.603942,0.176251,-0.0550601,-2.97523e-22
0.0126078,0.603983,0.179518,-0.0557072,1.22961e-22
0.0127,0.604023,0.182637,-0.0563176,1.20818e-22
0.0127846,0.60406,0.185687,-0.0569072,-3.00818e-24
0.0128776,0.604101,0.188925,-0.0575256,-3.46119e-22
0.0129804,0.604149,0.192533,-0.0582053,2.96675e-23
0.0130945,0.604204,0.196572,-0.0589545,-3.39808e-23
0.0132214,0.604267,0.201115,-0.0597826,-8.98273e-23
0.0133634,0.604342,0.206251,-0.0607005,1.86085e-21
0.0135229,0.604428,0.212089,-0.0617205,9.24861e-22
0.0137028,0.604531,0.21876,-0.0628559,-2.83512e-21
0.0139066,0.604653,0.226427,-0.064122,-9.4493e-22
0.0141385,0.604798,0.235287,-0.0655343,-1.51137e-21
0.0144035,0.604973,0.245585,-0.067109,2.93585e-21
0.0147076,0.605186,0.257621,-0.0688608,-2.5405e-22
0.0150582,0.605449,0.271969,-0.0708281,-3.05823e-21
0.0154839,0.605778,0.289343,-0.0730409,3.40887e-21
0.0159788,0.606185,0.310199,-0.0754648,-1.03501e-22
0.0165559,0.606686,0.335077,-0.0780431,2.774e-23
0.0172308,0.607303,0.364817,-0.0807103,1.13946e-20
0.0180222,0.608063,0.400399,-0.0833583,1.07594e-20
0.0189526,0.609,0.442918,-0.0858283,-3.31136e-20
0.0200493,0.610155,0.493537,-0.0879102,-1.17177e-20
0.0213448,0.611584,0.553385,-0.08936,2.15864e-20
0.0228785,0.613361,0.623401,-0.0899424,0.0
0.0246978,0.615584,0.704133,-0.0894997,8.56955e-21
0.0268599,0.618375,0.795525,-0.0880247,1.30955e-22
0.0294337,0.62187,0.89672,-0.0856916,-1.44102e-20
0.0325023,0.626184,1.0059,-0.0827959,5.51702e-21
0.0361662,0.631417,1.12002,-0.0795787,1.82817e-21
0.0405466,0.63753,1.23419,-0.076086,-2.70594e-21
0.0457897,0.64455,1.3403,-0.0719868,6.55813e-21
0.0520723,0.65175,1.42226,-0.0669455,-2.65404e-21
0.058149,0.658019,1.46343,-0.0613469,-2.06747e-21
0.0642652,0.663357,1.46243,-0.055127,-2.44517e-24
0.070424,0.667607,1.41919,-0.0481665,1.15148e-22
0.0766284,0.670944,1.33288,-0.040434,-1.97929e-24
0.0829487,0.673101,1.20699,-0.0323022,1.13507e-22
0.0883767,0.674312,1.06345,-0.0249763,1.34447e-21
0.0927677,0.67498,0.922928,-0.0188941,-2.74792e-22
0.0964184,0.67514,0.792691,-0.0140365,-1.68126e-21
0.0994537,0.675147,0.675254,-0.0102893,1.94351e-23
0.101977,0.675035,0.571711,-0.00744649,1.33854e-22
