y,p,Ux,Uy,Uz
0.0,0.689115,0.0,0.0,0.0
1.15896e-05,0.689111,0.000330926,-3.79948e-08,1.98283e-26
2.51805e-05,0.689101,0.00070549,-1.57552e-07,9.11673e-26
4.1145e-05,0.689089,0.00114554,-4.11351e-07,-2.67764e-25
5.99286e-05,0.689075,0.00166337,-8.6711e-07,-7.30577e-26
8.20658e-05,0.689059,0.00227375,-1.61989e-06,-9.93256e-25
0.000108198,0.689039,0.00299441,-2.80789e-06,-1.69469e-24
0.000139096,0.689017,0.00384664,-4.6303e-06,5.37823e-24
0.000175687,0.68899,0.00485608,-7.37295e-06,1.62206e-24
0.000219087,0.688958,0.00605361,-1.14458e-05,-1.12277e-23
0.000270642,0.688921,0.00747646,-1.74369e-05,1.32142e-24
0.000331975,0.688876,0.00916954,-2.61892e-05,8.35854e-24
0.000405047,0.688824,0.0111872,-3.89123e-05,-4.32271e-23
0.000492225,0.688761,0.013595,-5.73409e-05,5.49666e-23
0.000596373,0.688687,0.0164724,-8.39631e-05,1.09549e-22
0.000720957,0.688599,0.0199157,-0.000122349,-6.8411e-23
0.000870173,0.688494,0.0240416,-0.000177615,-7.97636e-23
0.00104911,0.68837,0.0289918,-0.000257097,-5.43488e-22
0.00126392,0.688224,0.0349386,-0.00037129,3.16972e-22
0.00152209,0.688051,0.0420915,-0.000535192,-5.35126e-22
0.0018327,0.687846,0.0507064,-0.000770175,-3.70961e-22
0.00220676,0.687607,0.0610955,-0.00110659,-3.31737e-21
0.00265766,0.687327,0.073642,-0.00158731,3.55502e-21
0.00320168,0.687002,0.0888172,-0.00227244,3.26294e-21
0.00385858,0.686663,0.105524,-0.00314976,2.65172e-21
0.00440984,0.686361,0.121251,-0.00408525,2.2734e-21
0.0049104,0.686103,0.135311,-0.0050045,-6.38576e-21
0.00537085,0.685874,0.148291,-0.00591765,4.45313e-21
0.00580073,0.685668,0.160454,-0.00682537,1.47646e-21
0.00620871,0.685477,0.172037,-0.00773343,-1.15575e-22
0.00660278,0.685298,0.183267,-0.00865124,5.51089e-23
0.00699041,0.685127,0.194354,-0.00959091,2.98884e-21
0.00737872,0.684959,0.205504,-0.0105667,-5.5583e-21
0.0077746,0.684793,0.216917,-0.0115949,-8.50246e-21
0.00818483,0.684629,0.228402,-0.0126567,4.24039e-21
0.0085616,0.684476,0.239456,-0.0137018,9.0469e-21
0.00892453,0.684332,0.250029,-0.0147204,3.79074e-21
0.00927559,0.684196,0.260298,-0.0157255,-7.65914e-21
0.00961645,0.684065,0.270311,-0.0167188,-5.58182e-21
0.00994856,0.683938,0.280107,-0.0177016,1.75757e-21
0.0102731,0.683817,0.28972,-0.0186754,3.14719e-21
0.0105913,0.683698,0.29918,-0.0196413,7.30563e-22
0.0109039,0.683582,0.308514,-0.0206004,-8.47436e-22
0.0112117,0.683469,0.317743,-0.0215536,-2.49502e-21
0.0115155,0.683357,0.326885,-0.0225016,8.59141e-22
0.0118157,0.683248,0.335958,-0.0234452,-3.03015e-22
0.0121129,0.683139,0.344976,-0.0243848,-2.16318e-24
0.0124076,0.683031,0.35395,-0.0253208,3.00825e-22
0.0127,0.682927,0.362693,-0.0262325,1.42479e-22
0.0129645,0.682826,0.371158,-0.0271147,-2.92017e-22
0.0132466,0.682723,0.379858,-0.0280201,-7.40507e-22
0.0135479,0.682612,0.389185,-0.0289885,1.24031e-21
0.0138699,0.682492,0.399196,-0.0300244,-3.53732e-22
0.0142146,0.682363,0.409957,-0.0311329,3.10001e-21
0.0145838,0.682224,0.421541,-0.0323194,4.4027e-21
0.0149801,0.682073,0.434034,-0.0335893,3.0438e-23
0.015406,0.681909,0.447531,-0.0349488,-4.03585e-21
0.0158646,0.681729,0.462143,-0.0364037,2.18199e-22
0.0163594,0.681533,0.477996,-0.0379606,-2.29881e-22
0.0168944,0.681315,0.495237,-0.0396256,-1.28908e-21
0.0174742,0.681074,0.514035,-0.0414045,-3.4567e-21
0.0181042,0.680795,0.535253,-0.0433636,-7.28147e-21
0.0188731,0.680463,0.559931,-0.0455725,-6.9266e-21
0.0197208,0.680073,0.587929,-0.0479828,3.59599e-21
0.0206578,0.679624,0.61904,-0.0505359,3.51577e-20
0.0216959,0.679103,0.653653,-0.0532157,3.76395e-21
0.0228492,0.678496,0.692189,-0.0559951,-3.6242e-20
0.0241341,0.677783,0.735088,-0.058832,-3.83262e-21
0.0255697,0.676945,0.782777,-0.0616666,1.15233e-20
0.0271788,0.675958,0.835629,-0.0644178,-2.06121e-20
0.0289878,0.674797,0.893892,-0.0669817,1.76707e-20
0.0310284,0.673435,0.957577,-0.0692325,1.20469e-20
0.033338,0.671851,1.02632,-0.071027,-1.84959e-20
0.0359608,0.67003,1.09917,-0.072213,1.51752e-20
0.0389495,0.667961,1.17438,-0.072641,8.25004e-22
0.042367,0.665669,1.24914,-0.0721589,-2.47442e-21
0.0462881,0.663148,1.31917,-0.0706244,-1.48777e-21
0.0508022,0.660527,1.37823,-0.0678035,-3.29406e-21
0.0560164,0.657804,1.41667,-0.0635893,1.85223e-21
0.0612459,0.65521,1.42606,-0.0583671,-2.07045e-21
0.0666374,0.652964,1.40375,-0.0522065,1.93897e-21
0.0722032,0.650902,1.34721,-0.0451245,-1.61816e-22
0.0779565,0.649187,1.25361,-0.0371794,-2.01498e-21
0.0839486,0.647616,1.12276,-0.0287713,6.04662e-22
0.089631,0.64646,0.972421,-0.0211823,7.67134e-22
0.0938477,0.64581,0.832429,-0.0153383,1.23672e-21
0.0973468,0.645265,0.70857,-0.0110026,-2.30193e-21
0.10025,0.644889,0.599022,-0.00781516,3.03255e-22
0.10266,0.644581,0.503898,-0.00549977,4.54538e-21
