y,Ux,Uy,p
0.0,0.0,0.0,-0.0387178
1.15632e-05,-0.000249512,-1.70426e-08,-0.0387179
2.45817e-05,-0.000521553,-7.20165e-08,-0.0387181
3.92387e-05,-0.000826262,-1.83525e-07,-0.0387182
5.57405e-05,-0.00116733,-3.71593e-07,-0.0387184
7.43191e-05,-0.00154879,-6.6167e-07,-0.0387187
9.5236e-05,-0.00197505,-1.08762e-06,-0.038719
0.000118785,-0.00245089,-1.69356e-06,-0.0387193
0.000145299,-0.00298144,-2.53646e-06,-0.0387196
0.000175149,-0.00357221,-3.68974e-06,-0.0387199
0.000208756,-0.00422898,-5.24793e-06,-0.0387203
0.000246594,-0.00495784,-7.33257e-06,-0.0387208
0.000289193,-0.00576498,-1.00997e-05,-0.0387214
0.000337153,-0.00665663,-1.37492e-05,-0.038722
0.00039115,-0.00763882,-1.85375e-05,-0.0387226
0.000451943,-0.00871708,-2.47922e-05,-0.0387234
0.000520387,-0.00989607,-3.29322e-05,-0.0387243
0.000597446,-0.011179,-4.34922e-05,-0.0387253
0.000684203,-0.012567,-5.71541e-05,-0.0387265
0.000781879,-0.0140581,-7.47848e-05,-0.0387277
0.000891849,-0.0156458,-9.74837e-05,-0.0387292
0.00101566,-0.0173179,-0.000126649,-0.0387308
0.00115505,-0.0190539,-0.000164094,-0.0387327
0.00131199,-0.0208225,-0.000212199,-0.0387348
0.00148868,-0.0225744,-0.000273499,-0.0387369
0.0016876,-0.024242,-0.000350562,-0.0387389
0.00191157,-0.0257391,-0.000447164,-0.0387413
0.00216372,-0.0269508,-0.000568523,-0.038744
0.0024476,-0.0277222,-0.000720981,-0.0387471
0.00276722,-0.0278484,-0.000912484,-0.0387507
0.00312706,-0.0270613,-0.00115295,-0.0387549
0.00353219,-0.0250141,-0.00145457,-0.0387597
0.00398831,-0.021263,-0.00183222,-0.0387652
0.00450184,-0.0152463,-0.00230385,-0.0387715
0.00508,-0.00672247,-0.0028628,-0.0387784
0.00562429,0.00385461,-0.00347231,-0.0387852
0.00616857,0.0162178,-0.00411991,-0.0387918
0.00671286,0.0304393,-0.00481177,-0.0387984
0.00725714,0.0464406,-0.00554505,-0.0388049
0.00780143,0.0641392,-0.00631687,-0.0388113
0.00834571,0.0834496,-0.00712423,-0.0388176
0.00889,0.104283,-0.00796399,-0.0388237
0.00943429,0.126549,-0.00883295,-0.0388296
0.00997857,0.150153,-0.00972787,-0.0388354
0.0105229,0.175,-0.0106452,-0.0388409
0.0110671,0.200992,-0.0115808,-0.0388461
0.0116114,0.228028,-0.0125305,-0.038851
0.0121557,0.256003,-0.0134901,-0.0388555
0.0127,0.284097,-0.014432,-0.0388595
0.0131908,0.311821,-0.0153414,-0.0388631
0.0137109,0.340592,-0.0162641,-0.0388666
0.0142618,0.371571,-0.0172336,-0.0388703
0.0148456,0.404812,-0.0182463,-0.0388739
0.015464,0.44033,-0.0192977,-0.0388774
0.0161192,0.478096,-0.0203815,-0.0388809
0.0168134,0.518024,-0.02149,-0.0388843
0.0175488,0.559966,-0.0226142,-0.0388877
0.018328,0.603702,-0.0237437,-0.0388911
0.0191535,0.648946,-0.0248677,-0.0388945
0.0200281,0.695347,-0.025975,-0.0388978
0.0209547,0.742508,-0.0270556,-0.0389013
0.0219364,0.791837,-0.0281401,-0.0389048
0.0231369,0.844636,-0.029245,-0.0389075
0.0244285,0.898506,-0.0303053,-0.0389097
0.0258182,0.951051,-0.0312677,-0.0389113
0.0273134,1.00141,-0.0321108,-0.0389111
0.028922,1.04865,-0.0328107,-0.0389086
0.0306527,1.09185,-0.0333454,-0.0389029
0.0325148,1.13011,-0.0336963,-0.0388929
0.0345183,1.16267,-0.0338512,-0.038878
0.0366737,1.18904,-0.0338072,-0.0388577
0.0389928,1.20913,-0.0335725,-0.0388309
0.0414879,1.22324,-0.0331671,-0.038797
0.0441724,1.23218,-0.0326209,-0.0387556
0.0470606,1.23709,-0.0319696,-0.0387061
0.050168,1.23928,-0.0312495,-0.0386497
0.0535113,1.23995,-0.0304863,-0.0385857
0.0571083,1.23998,-0.0297006,-0.0385175
0.0609783,1.23979,-0.0288921,-0.0384428
0.0651421,1.23934,-0.0280703,-0.0383681
0.0696219,1.23777,-0.0271955,-0.0382889
0.0744416,1.23279,-0.0262532,-0.0382139
0.0796273,1.2179,-0.0250542,-0.0381337
0.0852064,1.17679,-0.0232253,-0.0380236
0.0912091,1.09258,-0.0204377,-0.0379276
0.0952065,0.979172,-0.0171385,-0.0378944
0.0985148,0.851357,-0.0138773,-0.0378861
0.101253,0.721336,-0.0108482,-0.0378833
0.103519,0.599523,-0.00818741,-0.0378918
0.105394,0.491728,-0.00602584,-0.0378995
