y,p,U_0,U_1,U_2
0,102.963,0,0,0
1.15632e-05,102.962,0.0100712,-1.15258e-06,-8.01618e-24
2.45817e-05,102.96,0.0211128,-4.62721e-06,1.03397e-24
3.92387e-05,102.958,0.0335569,-1.15577e-05,9.03484e-24
5.57405e-05,102.955,0.0475835,-2.31818e-05,-2.28933e-23
7.43191e-05,102.952,0.0633961,-4.10373e-05,2.87566e-24
9.5236e-05,102.949,0.0812248,-6.71464e-05,-8.69286e-24
0.000118785,102.945,0.10133,-0.000104126,5.7346e-23
0.000145299,102.941,0.124006,-0.00015533,3.20543e-23
0.000175149,102.936,0.149588,-0.000225049,-2.90023e-23
0.000208756,102.931,0.178454,-0.000318759,-3.06984e-22
0.000246594,102.925,0.211034,-0.000443436,3.45594e-22
0.000289193,102.919,0.247815,-0.000607955,6.833e-22
0.000337153,102.912,0.289352,-0.00082358,-1.68592e-22
0.00039115,102.904,0.336276,-0.00110459,-1.44302e-21
0.000451943,102.895,0.389303,-0.00146906,-2.3739e-21
0.000520387,102.885,0.449252,-0.00193983,3.85318e-21
0.000597446,102.875,0.517057,-0.0025457,2.16499e-21
0.000684203,102.863,0.593785,-0.00332296,-8.10956e-21
0.000781879,102.85,0.680659,-0.00431725,-3.98939e-22
0.000891849,102.836,0.779082,-0.00558575,1.40472e-20
0.00101566,102.821,0.890667,-0.0071998,2.18094e-22
0.00115505,102.804,1.01728,-0.00924794,-8.9069e-21
0.00131199,102.786,1.16106,-0.0118421,-1.78523e-34
0.00148868,102.765,1.32423,-0.01512,-4.94704e-20
0.0016876,102.74,1.50915,-0.019252,5.29044e-21
0.00191157,102.711,1.71898,-0.0244594,1.15343e-19
0.00216372,102.678,1.95764,-0.0310151,-6.30798e-21
0.0024476,102.641,2.22962,-0.0392428,-6.69068e-20
0.00276722,102.601,2.54022,-0.0495299,-1.21351e-20
0.00312706,102.557,2.89563,-0.0623389,-8.7082e-20
0.00353219,102.511,3.30324,-0.0782205,-6.087e-20
0.00398831,102.461,3.77182,-0.0978308,1.01811e-19
0.00450184,102.409,4.31191,-0.12195,-3.34111e-20
0.00508,102.357,4.90726,-0.150085,1.46355e-21
0.00562429,102.307,5.51782,-0.18029,1.0741e-19
0.00616857,102.259,6.13521,-0.21191,-3.03891e-23
0.00671286,102.212,6.76901,-0.245208,-1.5195e-20
0.00725714,102.165,7.41955,-0.279992,-6.51079e-23
0.00780143,102.117,8.08711,-0.316071,9.78873e-23
0.00834571,102.069,8.77189,-0.353259,-6.99379e-23
0.00889,102.02,9.47405,-0.391374,3.02659e-20
0.00943429,101.969,10.1936,-0.430242,-4.67043e-36
0.00997857,101.916,10.9306,-0.469693,1.76761e-33
0.0105229,101.861,11.685,-0.509568,0
0.0110671,101.802,12.4563,-0.549713,1.29692e-20
