y,p,U_0,U_1,U_2
0,53.1049,0,0,0
1.15903e-05,53.1035,-0.000820281,-1.75929e-06,1.02091e-25
2.51959e-05,53.1001,-0.00172421,-7.41219e-06,9.88785e-25
4.11938e-05,53.096,-0.00275292,-1.94702e-05,-3.94326e-24
6.0036e-05,53.0912,-0.00391707,-4.11578e-05,-5.68052e-25
8.22644e-05,53.0857,-0.00522432,-7.70221e-05,-9.32692e-24
0.00010853,53.0791,-0.00667664,-0.000133684,-2.18618e-23
0.000139617,53.0714,-0.00826604,-0.000220691,4.01494e-23
0.000176466,53.0623,-0.00996809,-0.000351746,2.52201e-23
0.000220213,53.0515,-0.0117322,-0.000546498,-7.55832e-23
0.000272229,53.0388,-0.0134669,-0.00083311,9.97182e-24
0.000334164,53.0237,-0.015018,-0.00125193,6.23692e-23
0.000408017,53.0058,-0.016136,-0.00186073,-5.47575e-22
0.000496201,52.9847,-0.016428,-0.0027422,1.40954e-21
0.000601635,52.9598,-0.0152864,-0.00401456,9.0546e-22
0.000727854,52.9303,-0.0117831,-0.00584673,-1.65105e-21
0.000879141,52.8955,-0.00451508,-0.0084796,-5.99376e-22
0.00106069,52.8546,0.00862565,-0.012256,-3.44586e-21
0.00127878,52.8066,0.0307889,-0.0176625,8.75523e-21
0.00154107,52.7505,0.0666638,-0.0253864,-1.63763e-20
0.00185682,52.6853,0.12321,-0.0363936,-1.75174e-20
0.0022373,52.6099,0.210738,-0.0520331,-2.67485e-20
0.00269619,52.5231,0.344487,-0.0741739,6.09328e-20
0.00325013,52.4251,0.546955,-0.105357,4.13787e-20
0.00391934,52.3292,0.820654,-0.144622,-1.39734e-20
0.00447964,52.2493,1.12576,-0.185655,1.60307e-20
0.00498729,52.1823,1.43626,-0.225158,-7.7842e-20
0.00545308,52.1236,1.7536,-0.263674,4.55047e-20
0.0058867,52.0712,2.07676,-0.301291,4.98873e-20
0.00629695,52.0234,2.40693,-0.338283,-1.36706e-21
0.00669189,51.9788,2.74707,-0.375051,6.77107e-22
0.00707907,51.9362,3.10155,-0.412073,-1.44452e-22
0.00746565,51.8947,3.47605,-0.449889,-6.78429e-20
0.00785851,51.8532,3.87748,-0.489076,-1.09924e-19
0.00826444,51.812,4.29943,-0.528899,2.2338e-20
0.00863691,51.7727,4.72236,-0.567525,1.4387e-19
0.00899519,51.7354,5.14171,-0.604646,8.32791e-20
0.0093413,51.6994,5.56237,-0.640784,-7.89668e-20
0.00967694,51.6644,5.98469,-0.676029,-5.79994e-20
0.0100036,51.63,6.40906,-0.71046,1.82765e-20
0.0103226,51.5961,6.83587,-0.744151,1.89826e-20
0.0106349,51.5626,7.26552,-0.777166,-1.83218e-20
0.0109416,51.5292,7.69838,-0.809559,-1.31142e-20
0.0112433,51.4958,8.13476,-0.841379,-1.6098e-22
0.0115409,51.4623,8.57497,-0.872663,1.70856e-20
0.0118349,51.4287,9.01924,-0.903445,-2.00333e-21
0.0121258,51.3947,9.4678,-0.933751,-5.11985e-21
0.012414,51.3604,9.92079,-0.9636,1.99723e-21
0.0127,51.3264,10.3681,-0.992362,1.94021e-21
0.0129587,51.293,10.8068,-1.0199,-1.96168e-21
0.0132347,51.2581,11.2632,-1.04788,-8.62155e-22
0.0135296,51.2201,11.7583,-1.07749,1.11582e-20
0.0138449,51.1784,12.2961,-1.10879,-1.46657e-20
0.0141825,51.1326,12.881,-1.14187,3.15489e-20
0.0145445,51.0821,13.518,-1.1768,3.40504e-20
0.0149331,51.0261,14.2126,-1.21364,-9.6858e-21
0.0153511,50.964,14.9712,-1.25244,-2.39018e-20
0.0158015,50.8946,15.8008,-1.29326,1.3136e-20
0.0162878,50.8169,16.7093,-1.3361,-2.01826e-21
0.016814,50.7296,17.7053,-1.38097,-2.54799e-20
0.0173849,50.6309,18.7987,-1.42781,-1.11477e-19
0.018006,50.5154,20.0389,-1.47808,-8.23225e-20
0.0187638,50.3756,21.4844,-1.53307,5.64097e-20
0.0196001,50.2106,23.1236,-1.59108,5.88517e-20
0.0205255,50.0199,24.9373,-1.65031,2.78151e-19
0.0215519,49.7999,26.9375,-1.71011,1.13666e-19
0.0226935,49.5472,29.1334,-1.76975,-2.57264e-19
0.023967,49.2587,31.5301,-1.82845,-1.0424e-19
