y,p,U_0,U_1,U_2
0,-0.0206592,0,0,0
1.60573e-05,-0.0206617,-6.70631e-05,-3.01096e-08,1.07437e-24
3.39444e-05,-0.020662,-0.000138121,-1.8266e-07,2.09169e-24
5.38753e-05,-0.0206623,-0.0002151,-5.05799e-07,-2.01577e-24
7.6089e-05,-0.0206627,-0.000298163,-1.04374e-06,-1.75388e-23
0.000100853,-0.0206631,-0.00038736,-1.858e-06,-2.0232e-23
0.000128468,-0.0206635,-0.000482585,-3.0318e-06,1.79887e-23
0.000159269,-0.020664,-0.000583519,-4.67094e-06,2.4341e-23
0.000193631,-0.0206646,-0.000689549,-6.90837e-06,-6.06139e-23
0.000231976,-0.0206652,-0.000799673,-9.91121e-06,-3.25892e-23
0.000274776,-0.0206659,-0.000912373,-1.38894e-05,1.16498e-22
0.000322558,-0.0206667,-0.00102545,-1.91062e-05,3.90731e-23
0.000375915,-0.0206676,-0.00113582,-2.58913e-05,1.22654e-22
0.00043551,-0.0206686,-0.00123924,-3.46565e-05,4.18331e-23
0.000502087,-0.0206697,-0.00133002,-4.59154e-05,-1.99423e-22
0.000576479,-0.0206709,-0.00140051,-6.03076e-05,1.93751e-22
0.000659623,-0.0206723,-0.00144063,-7.86282e-05,2.62973e-22
0.000752564,-0.0206738,-0.00143719,-0.000101863,-3.28632e-22
0.00085648,-0.0206755,-0.00137297,-0.000131233,-9.12803e-22
0.000972688,-0.0206773,-0.00122566,-0.000168245,-2.68105e-22
0.00110267,-0.0206793,-0.000966477,-0.000214755,3.15972e-22
0.00124808,-0.0206815,-0.000558422,-0.000273042,-1.03916e-25
0.00141078,-0.0206839,4.59191e-05,-0.000345896,2.62392e-22
0.00159286,-0.0206866,0.000907132,-0.000436717,4.9753e-22
0.00179667,-0.0206895,0.00210244,-0.000549634,-1.2083e-21
0.00202483,-0.0206926,0.00373004,-0.000689632,-1.23633e-22
0.0022803,-0.020696,0.00591453,-0.000862702,1.65206e-21
0.00256639,-0.0206996,0.00881364,-0.00107598,3.32042e-22
0.00288683,-0.0207036,0.0126266,-0.00133794,4.53086e-21
0.00324579,-0.0207079,0.0176041,-0.00165847,-4.09747e-21
0.00364796,-0.0207125,0.0240612,-0.00204907,-4.65009e-21
0.00409862,-0.0207176,0.0323913,-0.00252289,1.42377e-21
0.00460367,-0.0207233,0.0430834,-0.00309499,2.76255e-22
0.00516977,-0.0207297,0.0567407,-0.00378269,2.83581e-21
0.00580438,-0.0207367,0.0733579,-0.00456953,7.44138e-21
0.00641289,-0.020744,0.0920922,-0.00540453,6.0736e-21
0.00702859,-0.0207519,0.11268,-0.00627229,-2.98711e-21
0.00765211,-0.0207606,0.135351,-0.00718021,-4.32811e-21
0.00828413,-0.0207702,0.160089,-0.00812422,-4.3424e-21
0.00892537,-0.020781,0.186867,-0.00910044,-1.66878e-21
0.00957665,-0.0207931,0.215646,-0.0101052,-2.58781e-21
0.0102388,-0.0208069,0.246374,-0.011135,-2.17425e-23
0.0109129,-0.0208226,0.278983,-0.012186,2.53167e-21
0.0115998,-0.0208406,0.313394,-0.0132543,-2.83818e-20
0.0123007,-0.0208611,0.349511,-0.0143358,-4.00381e-20
0.0130168,-0.0208847,0.387221,-0.015426,-2.2871e-22
0.0137495,-0.0209119,0.426391,-0.0165201,3.88277e-20
0.0145001,-0.020943,0.466871,-0.0176131,-1.01561e-20
0.0152702,-0.0209775,0.507742,-0.0186778,1.43197e-20
0.0160061,-0.0210157,0.548114,-0.019693,5.82822e-20
0.0167682,-0.0210586,0.588658,-0.0206812,1.50681e-20
0.017558,-0.0211073,0.629966,-0.021657,-2.0499e-20
0.0183772,-0.0211624,0.671804,-0.022612,-9.75576e-20
0.0192275,-0.0212247,0.713912,-0.0235399,-1.56645e-20
0.0201109,-0.0212949,0.756017,-0.0244346,1.26914e-19
0.0210292,-0.0213736,0.797834,-0.02529,1.5164e-20
0.0219845,-0.0214615,0.839072,-0.0261004,-3.95479e-20
0.022979,-0.0215593,0.879445,-0.0268601,4.53684e-22
0.0240151,-0.0216674,0.918665,-0.0275635,-5.99541e-20
0.0250953,-0.0217865,0.956452,-0.028205,2.14317e-20
0.0262221,-0.0219173,0.99253,-0.0287805,1.01295e-19
0.0273983,-0.022065,1.02758,-0.0292997,1.51002e-20
0.0287709,-0.0222345,1.06208,-0.0297595,-2.26047e-20
0.0302252,-0.0224245,1.09459,-0.0301292,2.09275e-20
0.0317675,-0.0226318,1.12383,-0.030392,-7.22039e-21
0.0334043,-0.0228565,1.14948,-0.0305443,-1.86012e-20
0.035143,-0.0230984,1.1713,-0.0305838,1.14084e-21
0.0369913,-0.0233567,1.18919,-0.0305112,2.28247e-21
0.0389573,-0.0236286,1.20312,-0.0303342,-3.30549e-20
0.0409878,-0.0239109,1.21329,-0.0300695,-2.42965e-20
0.0431273,-0.0242028,1.22031,-0.0297318,2.07242e-20
0.0453892,-0.0245054,1.22482,-0.0293333,0
0.0477877,-0.0248187,1.22746,-0.0288877,-2.10661e-20
