y,p,U_0,U_1,U_2
0,93.7738,0,0,0
2.53958e-05,93.8081,0.0458007,-1.17006e-06,2.81356e-22
5.33838e-05,93.8071,0.0951221,-3.24515e-06,-2.86281e-23
8.42377e-05,93.8059,0.149472,-6.76845e-06,3.73264e-22
0.000118261,93.8046,0.209379,-1.24202e-05,-1.30402e-22
0.000155792,93.8032,0.275429,-2.08371e-05,1.29923e-21
0.000197203,93.8018,0.34827,-3.27566e-05,-2.93751e-22
0.00024291,93.8003,0.42862,-4.91053e-05,-2.24521e-21
0.000293374,93.7987,0.517277,-7.10425e-05,3.39339e-22
0.000349108,93.797,0.615122,-0.000100006,6.08261e-21
0.000410681,93.7952,0.723134,-0.000137775,-4.09293e-22
0.000478726,93.7933,0.842396,-0.000186548,-2.02658e-20
0.000553945,93.7912,0.974111,-0.000249045,1.47605e-21
0.000637123,93.789,1.11961,-0.000328623,2.39866e-20
0.000729129,93.7867,1.28036,-0.000429427,-2.17981e-20
0.000830933,93.7842,1.45801,-0.000556567,-2.59096e-20
0.000943611,93.7815,1.65436,-0.000716349,-5.04471e-22
0.00106837,93.7786,1.87141,-0.000916542,-1.16233e-21
0.00120653,93.7755,2.11139,-0.00116672,3.00552e-20
0.00135961,93.7721,2.37674,-0.00147866,2.62709e-20
0.00152924,93.7685,2.67019,-0.00186688,2.45883e-20
0.00171729,93.7645,2.99473,-0.00234922,-5.17947e-21
0.00192581,93.7602,3.35368,-0.00294763,-2.1206e-20
0.00215711,93.7556,3.7507,-0.00368905,1.04783e-19
0.00241374,93.7505,4.18982,-0.00460657,1.03195e-19
0.00269858,93.745,4.67549,-0.00574074,-2.45847e-19
0.00301482,93.7389,5.21262,-0.00714121,2.80206e-20
0.00336602,93.7323,5.80659,-0.00886863,1.15287e-19
0.00375616,93.725,6.46333,-0.0109969,1.83359e-20
0.00418968,93.7169,7.18933,-0.0136159,3.64539e-19
0.00467156,93.708,7.99175,-0.0168349,5.30068e-19
0.00520733,93.698,8.87841,-0.0207853,-9.45449e-21
0.00580319,93.687,9.85789,-0.0256192,-8.04557e-19
0.00646608,93.675,10.9396,-0.0314993,-5.67198e-19
0.00720373,93.662,12.0973,-0.0384144,2.48667e-19
0.00793322,93.6486,13.2787,-0.0461497,-1.56941e-18
0.00868545,93.6341,14.4759,-0.054643,-3.33494e-19
0.00946241,93.6179,15.7035,-0.063964,3.96007e-19
0.0102662,93.5993,16.9646,-0.0741314,3.81454e-20
0.0110992,93.5779,18.2626,-0.0851546,1.43273e-18
0.011964,93.5532,19.6011,-0.0970293,-6.08042e-21
0.0128632,93.5242,20.9839,-0.109735,-9.47597e-20
0.0138,93.4902,22.4151,-0.123232,2.35139e-18
0.0147774,93.4501,23.8991,-0.137458,-1.59375e-18
0.0157991,93.4026,25.44,-0.15232,-8.25654e-19
0.016869,93.3462,27.0424,-0.167691,1.40481e-18
0.0179911,93.279,28.7102,-0.183415,-1.6173e-18
0.01917,93.1986,30.4469,-0.19932,-3.61705e-18
0.0204107,93.1041,32.2198,-0.214873,-3.38205e-18
0.0216207,92.9978,33.9774,-0.229391,3.8157e-18
0.022851,92.8781,35.7204,-0.242739,3.14607e-18
0.0241028,92.7433,37.4632,-0.254952,3.18451e-18
0.0253775,92.5926,39.2011,-0.265921,-5.06499e-18
0.0266763,92.4247,40.9288,-0.275564,-3.62771e-18
0.0280007,92.2386,42.6401,-0.283833,-7.0643e-18
0.0293522,92.0331,44.3283,-0.290714,7.19232e-18
0.0307325,91.8072,45.9861,-0.296223,5.38608e-18
0.0321432,91.5599,47.606,-0.300401,5.21221e-18
0.0335862,91.2903,49.1802,-0.303303,1.37702e-17
0.0350633,90.997,50.7009,-0.305008,-1.31686e-17
0.0365767,90.6787,52.1601,-0.305639,-1.23375e-17
0.0381284,90.329,53.5733,-0.305256,8.14119e-18
0.0398325,89.938,54.9535,-0.303707,-2.13014e-18
0.0416,89.5097,56.2656,-0.300992,-1.32477e-18
0.0434357,89.0471,57.4763,-0.297183,4.27183e-19
0.0453449,88.5491,58.5719,-0.292249,-5.68475e-18
0.0473331,88.0149,59.5368,-0.286155,7.60901e-18
0.0494064,87.4446,60.3537,-0.278832,-1.12335e-17
0.051571,86.8506,60.9922,-0.270265,-7.14807e-18
0.0536509,86.2547,61.4317,-0.26068,1.16086e-17
0.0557558,85.6542,61.6782,-0.250128,-4.95401e-19
0.0579034,85.0428,61.7316,-0.238455,-6.32268e-18
0.0601107,84.4199,61.5789,-0.225441,-3.86622e-18
0.0623944,83.7859,61.1993,-0.210872,-6.74462e-18
0.064771,83.1423,60.5637,-0.194495,5.03406e-18
0.0672571,82.4925,59.6338,-0.176024,1.36528e-17
0.0698694,81.8416,58.3604,-0.155159,6.02928e-18
0.0726247,81.1971,56.6829,-0.131624,1.02803e-20
0.0755406,80.5696,54.5281,-0.105244,-5.6312e-18
0.0786348,79.9723,51.8115,-0.0760916,-6.48932e-18
0.081926,79.4213,48.441,-0.0447202,-2.10216e-19
0.0854336,78.9344,44.3263,-0.0125259,1.51341e-17
0.089178,78.5298,39.3956,0.017884,2.25978e-18
0.0931806,78.2208,33.6215,0.042208,-3.84928e-18
0.0974641,78.0182,27.7025,0.052881,2.74467e-18
0.100339,77.9154,22.809,0.0504713,-4.95236e-18
0.102724,77.8682,18.9614,0.0431932,-6.46364e-19
0.104701,77.8458,15.7507,0.0348207,-1.95038e-19
0.106342,77.8364,13.0782,0.0269822,2.01218e-18
0.107703,77.8343,10.8554,0.020327,-9.11803e-20
0.108833,77.8362,9.00712,0.0149985,1.43767e-19
0.109771,77.84,7.4703,0.0108938,5.83114e-20
0.110549,77.8447,6.19243,0.00781581,1.01478e-19
0.111195,77.8496,5.12985,0.00555215,3.80393e-20
0.111732,77.8545,4.24625,0.0039116,-1.93395e-19
0.112177,77.8589,3.51148,0.00273606,-4.92363e-20
0.112548,77.863,2.90041,0.00190135,-4.6826e-21
0.112855,77.8666,2.39219,0.00131308,6.79296e-21
0.113111,77.8698,1.96945,0.000901145,-3.35663e-20
0.113324,77.8725,1.61776,0.000614355,2.32283e-20
0.113501,77.8749,1.32512,0.000415776,2.32297e-20
0.113648,77.877,1.08158,0.000279022,0
0.11377,77.8788,0.878835,0.000185385,3.35105e-21
0.113872,77.8803,0.710018,0.000121678,-1.11069e-21
0.113957,77.8816,0.569405,7.86574e-05,-3.07141e-21
0.114028,77.8827,0.452248,4.98681e-05,3.55376e-21
0.114087,77.8837,0.354599,3.08224e-05,3.59972e-22
0.114136,77.8845,0.273179,1.84112e-05,-1.86793e-21
0.114177,77.8852,0.205265,1.04877e-05,-1.89026e-22
0.114211,77.8859,0.148591,5.57735e-06,2.39729e-23
0.11424,77.8864,0.101277,2.67404e-06,2.10438e-22
0.114263,77.887,0.0617575,1.08759e-06,3.07793e-23
0.114283,77.8874,0.0287321,3.15334e-07,-4.30043e-23
0.1143,77.8902,0,0,0
