y,p,U_0,U_1,U_2
0,-26.8794,0,0,0
1.16106e-05,-26.8782,-0.00836204,1.6683e-06,0
2.56565e-05,-26.8752,-0.018027,6.93105e-06,0
4.26602e-05,-26.8714,-0.0296756,1.85182e-05,1.30645e-24
6.32576e-05,-26.8669,-0.0437104,4.02256e-05,-2.76373e-25
8.82233e-05,-26.8615,-0.0606106,7.76346e-05,5.74034e-24
0.000118501,-26.8551,-0.0809429,0.000139162,-1.56242e-24
0.00015524,-26.8473,-0.105374,0.000237374,-3.04385e-23
0.000199841,-26.838,-0.134679,0.000390883,6.3105e-23
0.000254011,-26.8269,-0.169751,0.0006271,-5.26974e-23
0.000319833,-26.8137,-0.211599,0.000986148,-5.68605e-23
0.000399843,-26.7981,-0.261341,0.00152636,2.75474e-22
0.000497136,-26.7798,-0.320166,0.00233185,-4.11917e-23
0.000615486,-26.7584,-0.389281,0.00352263,-1.71654e-22
0.000759498,-26.7339,-0.469789,0.00526752,-9.10551e-23
0.000934787,-26.7063,-0.562503,0.00779954,-6.21536e-23
0.00114821,-26.6761,-0.66763,0.0114313,9.34315e-23
0.00140812,-26.6445,-0.784277,0.0165646,0
0.00172472,-26.6141,-0.909679,0.023679,0
0.00211046,-26.5893,-1.038,0.0332687,-7.12188e-22
0.00258055,-26.5782,-1.15852,0.0456638,8.94271e-22
0.00315353,-26.5935,-1.25278,0.0606124,3.09782e-20
0.00385204,-26.6546,-1.29025,0.0763997,1.38858e-20
0.00470373,-26.7855,-1.22137,0.0882149,-3.15437e-20
0.00574233,-26.9847,-1.00131,0.0863812,-1.98727e-20
0.00657366,-27.1984,-0.667979,0.0671376,-2.8836e-20
0.00729408,-27.3848,-0.284069,0.0350686,5.56539e-21
0.0079201,-27.5389,0.127322,-0.00563246,2.72578e-20
0.00846603,-27.6597,0.546693,-0.0512459,-4.52193e-21
0.00894425,-27.7507,0.961586,-0.0989701,-5.97128e-23
0.00936552,-27.8166,1.36464,-0.146889,4.71314e-20
0.00973924,-27.8626,1.75219,-0.193819,3.87142e-21
0.0100736,-27.8928,2.12321,-0.239143,-6.09108e-20
0.010376,-27.9111,2.4786,-0.282651,3.19914e-20
0.0106528,-27.9206,2.81644,-0.323906,7.54159e-21
0.0108964,-27.9231,3.13172,-0.362199,-1.58093e-20
0.0111152,-27.92,3.42431,-0.39747,1.30305e-20
0.0113126,-27.9133,3.69704,-0.430054,-7.83856e-21
0.0114918,-27.9041,3.95158,-0.460169,5.36206e-22
0.0116552,-27.893,4.18968,-0.48805,-1.12697e-20
0.0118052,-27.8807,4.41305,-0.513932,-7.69014e-22
0.0119436,-27.8676,4.62332,-0.53804,4.80139e-21
0.012072,-27.8539,4.82205,-0.560581,3.64584e-22
0.0121919,-27.8399,5.01066,-0.581747,0
0.0123044,-27.8256,5.19042,-0.60171,-1.63242e-21
0.0124107,-27.8111,5.36252,-0.620623,7.91624e-22
0.0125116,-27.7965,5.528,-0.638619,2.00615e-21
0.0126078,-27.7823,5.68779,-0.65582,-8.13342e-22
0.0127,-27.7691,5.84089,-0.672138,-7.72262e-22
0.0127846,-27.756,5.99104,-0.687986,1.85519e-23
0.0128776,-27.7407,6.15097,-0.704699,2.13534e-21
0.0129804,-27.7228,6.32974,-0.723169,-1.82513e-22
0.0130945,-27.702,6.53053,-0.743644,2.04961e-22
0.0132214,-27.6779,6.75722,-0.766413,1.74357e-22
0.0133634,-27.6498,7.01455,-0.791806,-1.18605e-20
0.0135229,-27.6169,7.30827,-0.8202,-5.18297e-21
0.0137028,-27.5781,7.64549,-0.852014,1.78831e-20
0.0139066,-27.5321,8.03494,-0.887705,5.78623e-21
0.0141385,-27.4775,8.4874,-0.927753,9.09626e-21
0.0144035,-27.4124,9.01617,-0.972631,-1.91565e-20
0.0147076,-27.3343,9.6377,-1.02275,3.21313e-21
0.0150582,-27.2388,10.3828,-1.07913,1.96349e-20
0.0154839,-27.1212,11.2898,-1.14244,-2.21458e-20
0.0159788,-26.9783,12.3833,-1.21135,-1.50921e-21
0.0165559,-26.8043,13.6909,-1.28371,4.54771e-23
0.0172308,-26.5898,15.2528,-1.35702,-6.42276e-20
0.0180222,-26.3187,17.111,-1.42774,-5.77538e-20
0.0189526,-25.9635,19.3044,-1.49187,1.77267e-19
0.0200493,-25.4779,21.8631,-1.54611,6.34173e-20
0.0213448,-24.7905,24.8035,-1.58964,-1.09477e-19
0.0228785,-23.8031,28.1285,-1.62512,0
0.0246978,-22.3946,31.834,-1.65736,-2.68133e-20
0.0268599,-20.4262,35.9115,-1.69008,-3.92981e-21
0.0294337,-17.748,40.3394,-1.72369,3.31562e-20
0.0325023,-14.2173,45.059,-1.75599,-5.44578e-21
0.0361662,-9.6729,49.9436,-1.78194,-8.66387e-21
0.0405466,-4.05693,54.7633,-1.79632,6.03821e-21
0.0457897,2.76469,59.1457,-1.78775,1.7338e-22
0.0520723,10.2674,62.4482,-1.74749,-3.22958e-22
0.058149,17.2683,64.1038,-1.68516,-2.02558e-21
0.0642652,23.5766,64.1684,-1.59969,7.346e-25
0.070424,29.0406,62.6479,-1.48489,1.25387e-22
0.0766284,33.6813,59.3976,-1.33344,1.49429e-23
0.0829487,37.1939,54.3579,-1.14543,3.36797e-22
0.0883767,39.475,48.2975,-0.949908,5.9363e-21
0.0927677,40.8443,42.1071,-0.765377,-2.26847e-21
0.0964184,41.5513,36.1904,-0.600881,-8.66072e-21
0.0994537,41.9315,30.7547,-0.461626,2.46602e-22
0.101977,42.1032,25.9188,-0.34719,9.45633e-22
0.104075,42.1686,21.7133,-0.256691,5.19669e-21
0.10582,42.1755,18.114,-0.186991,-1.15083e-20
0.10727,42.154,15.0669,-0.134585,-4.91889e-21
0.108476,42.1198,12.5057,-0.0958929,1.17073e-20
0.109478,42.0814,10.3628,-0.0677433,3.20764e-21
0.110312,42.0434,8.57481,-0.0475031,1.26599e-22
0.111005,42.0079,7.0856,-0.0330883,-5.92446e-21
0.111581,41.9759,5.84645,-0.0229036,-2.78638e-22
0.11206,41.9476,4.81593,-0.0157565,2.70921e-21
0.112458,41.9229,3.95917,-0.0107713,9.99713e-22
0.11279,41.9017,3.24698,-0.00731363,1.81777e-23
0.113065,41.8835,2.65498,-0.00492843,-3.82154e-23
0.113294,41.8681,2.1629,-0.0032922,-1.3806e-22
0.113484,41.855,1.75387,-0.00217646,-7.18822e-22
0.113643,41.8439,1.41386,-0.00142073,9.65221e-24
0.113774,41.8347,1.13121,-0.000912858,1.41957e-22
0.113884,41.8269,0.896249,-0.00057479,2.15188e-22
0.113975,41.8203,0.700916,-0.000352448,-8.45582e-23
0.11405,41.8148,0.538526,-0.000208496,-2.60871e-23
0.114113,41.8103,0.403521,-0.000117263,-7.45382e-23
0.114165,41.8064,0.29128,-6.1174e-05,1.30471e-23
0.114209,41.8032,0.197963,-2.82848e-05,7.74288e-24
0.114245,41.8005,0.120378,-1.05683e-05,8.42583e-24
0.114275,41.7983,0.0558723,-2.49728e-06,6.66635e-24
0.1143,41.7974,0,0,0
