y,p,U_0,U_1,U_2
0,85.1913,0,0,0
1.15767e-05,85.1902,0.00538007,-1.41713e-06,-3.38362e-25
2.48888e-05,85.1875,0.0113889,-5.84274e-06,4.61912e-25
4.02163e-05,85.1843,0.0183268,-1.49932e-05,-3.32831e-24
5.78882e-05,85.1807,0.0263518,-3.09267e-05,1.13246e-25
7.82917e-05,85.1766,0.0356514,-5.64022e-05,4.23213e-24
0.000101883,85.1718,0.0464498,-9.52794e-05,-1.70356e-23
0.000129201,85.1663,0.059015,-0.000152899,1.57879e-23
0.000160882,85.1599,0.0736692,-0.000236618,-1.04706e-22
0.000197681,85.1526,0.0908009,-0.00035657,-3.07045e-23
0.000240493,85.144,0.110881,-0.00052672,1.4786e-22
0.000290379,85.1341,0.134481,-0.000766329,4.27046e-22
0.000348605,85.1226,0.162301,-0.00110198,-1.77227e-22
0.000416677,85.1093,0.195199,-0.00157038,-4.31342e-22
0.000496392,85.0938,0.234239,-0.00222229,-1.10176e-21
0.000589899,85.0757,0.280737,-0.00312792,2.11786e-22
0.000699764,85.0548,0.336342,-0.00438443,5.87219e-22
0.000829066,85.0304,0.403132,-0.00612635,1.50244e-22
0.000981493,85.0021,0.483739,-0.00853993,7.93571e-21
0.00116147,84.9693,0.581527,-0.0118828,-1.16734e-21
0.00137434,84.9313,0.700835,-0.016511,-8.09438e-21
0.00162648,84.8874,0.8473,-0.022916,5.1173e-20
0.00192562,84.8366,1.02832,-0.0317748,2.58797e-20
0.00228106,84.7787,1.25367,-0.044012,-3.44118e-20
0.00270401,84.7189,1.51534,-0.0595528,1.7722e-20
0.00308362,84.6642,1.78481,-0.0767107,2.67958e-20
0.00344943,84.6143,2.053,-0.0946732,-1.18625e-19
0.0038084,84.5672,2.32782,-0.11379,6.73532e-20
0.00416715,84.5218,2.61404,-0.134285,-7.07869e-20
0.00453208,84.4774,2.91714,-0.156471,-1.16481e-19
0.00490948,84.4331,3.24332,-0.180742,6.78974e-20
0.00530563,84.3882,3.59973,-0.207567,-1.54103e-20
0.00572698,84.342,3.99462,-0.237493,1.56433e-19
0.00618017,84.2938,4.43764,-0.27114,-6.29883e-20
0.00667222,84.2447,4.9194,-0.307638,-6.21522e-20
0.0071306,84.1972,5.4122,-0.344725,6.16758e-20
0.00758188,84.1516,5.90975,-0.381793,-5.88076e-20
0.00802708,84.1067,6.4189,-0.419238,-1.97691e-20
0.00846704,84.0622,6.93983,-0.45697,3.86204e-20
0.00890252,84.0177,7.47272,-0.494908,5.7966e-20
0.00933414,83.9728,8.01768,-0.532977,1.03118e-22
0.00976245,83.9273,8.57479,-0.571108,-1.95938e-20
0.0101879,83.8808,9.14406,-0.609235,0
0.0106109,83.8332,9.72545,-0.647294,0
0.0110319,83.7842,10.3189,-0.685227,-4.51442e-21
0.011451,83.7336,10.9242,-0.722975,9.25631e-21
0.0118686,83.6812,11.5411,-0.760484,4.5287e-21
