-0.0206 	0.0129396 	0 	0.65014 	0.016125 	-8.34645e-06 	0
-0.0206 	0.0132591 	0 	0.650004 	0.0373631 	-4.41421e-05 	0
-0.0206 	0.0135786 	0 	0.649872 	0.0584162 	-0.000107772 	0
-0.0206 	0.0138981 	0 	0.649743 	0.0792769 	-0.00019969 	0
-0.0206 	0.0142176 	0 	0.649619 	0.0999514 	-0.000317257 	0
-0.0206 	0.0145371 	0 	0.649498 	0.120441 	-0.000460073 	0
-0.0206 	0.0148566 	0 	0.649382 	0.140755 	-0.000625957 	0
-0.0206 	0.0151761 	0 	0.64927 	0.160883 	-0.000813688 	0
-0.0206 	0.0154956 	0 	0.649163 	0.180773 	-0.00103199 	0
-0.0206 	0.0158151 	0 	0.649059 	0.200582 	-0.00126021 	0
-0.0206 	0.0161346 	0 	0.648964 	0.220052 	-0.0015232 	0
-0.0206 	0.0164541 	0 	0.64887 	0.239522 	-0.00178619 	0
-0.0206 	0.0167736 	0 	0.648787 	0.25858 	-0.00209385 	0
-0.0206 	0.0170931 	0 	0.648705 	0.277615 	-0.0024003 	0
-0.0206 	0.0174126 	0 	0.648629 	0.296444 	-0.00272921 	0
-0.0206 	0.0177321 	0 	0.648565 	0.314958 	-0.00308137 	0
-0.0206 	0.0180516 	0 	0.6485 	0.333471 	-0.00343353 	0
-0.0206 	0.0183711 	0 	0.648443 	0.351792 	-0.00380504 	0
-0.0206 	0.0186906 	0 	0.648402 	0.369681 	-0.00420257 	0
-0.0206 	0.0190101 	0 	0.648361 	0.38757 	-0.00460009 	0
-0.0206 	0.0193296 	0 	0.648319 	0.405459 	-0.00499762 	0
-0.0206 	0.0196491 	0 	0.648297 	0.422923 	-0.00542502 	0
-0.0206 	0.0199686 	0 	0.648287 	0.440072 	-0.00586354 	0
-0.0206 	0.020288 	0 	0.648277 	0.45722 	-0.00630207 	0
-0.0206 	0.0206075 	0 	0.648267 	0.474369 	-0.00674061 	0
-0.0206 	0.020927 	0 	0.648261 	0.491466 	-0.00718384 	0
-0.0206 	0.0212465 	0 	0.648293 	0.507746 	-0.00765767 	0
-0.0206 	0.021566 	0 	0.648325 	0.524023 	-0.00812732 	0
-0.0206 	0.0218855 	0 	0.648356 	0.5403 	-0.00859695 	0
-0.0206 	0.022205 	0 	0.648388 	0.556578 	-0.00906659 	0
-0.0206 	0.0225245 	0 	0.648419 	0.572855 	-0.00953624 	0
-0.0206 	0.022844 	0 	0.648485 	0.588536 	-0.0100222 	0
-0.0206 	0.0231635 	0 	0.64857 	0.603799 	-0.0105065 	0
-0.0206 	0.023483 	0 	0.648654 	0.619062 	-0.0109909 	0
-0.0206 	0.0238025 	0 	0.648738 	0.634326 	-0.0114753 	0
-0.0206 	0.024122 	0 	0.648822 	0.649589 	-0.0119597 	0
-0.0206 	0.0244415 	0 	0.648907 	0.664853 	-0.012444 	0
-0.0206 	0.024761 	0 	0.648991 	0.680116 	-0.0129284 	0
-0.0206 	0.0250805 	0 	0.649143 	0.694242 	-0.0134125 	0
-0.0206 	0.0254 	0 	0.649291 	0.708338 	-0.0138891 	0
-0.0199776 	0.0129396 	0 	0.648409 	0.0161746 	-8.76216e-06 	0
-0.0199776 	0.0132591 	0 	0.648268 	0.0374671 	-4.60103e-05 	0
-0.0199776 	0.0135786 	0 	0.648131 	0.0585766 	-0.000112309 	0
-0.0199776 	0.0138981 	0 	0.647994 	0.0795139 	-0.000209931 	0
-0.0199776 	0.0142176 	0 	0.647865 	0.100242 	-0.000332921 	0
-0.0199776 	0.0145371 	0 	0.647739 	0.12079 	-0.000483321 	0
