y,p,U_0,U_1,U_2
0,108.395,0,0,0
1.95048e-05,108.401,0.0318492,-1.10265e-06,1.24194e-22
4.11234e-05,108.4,0.0663039,-3.94392e-06,-6.25183e-23
6.50921e-05,108.399,0.104494,-9.34151e-06,5.09996e-23
9.16746e-05,108.397,0.146835,-1.81806e-05,1.26905e-22
0.000121165,108.396,0.193794,-3.14698e-05,-1.57493e-22
0.000153891,108.394,0.245886,-5.04845e-05,0
0.000190219,108.392,0.30369,-7.68403e-05,-2.13061e-21
0.000230557,108.39,0.367847,-0.000112566,2.34613e-22
0.000275361,108.388,0.439074,-0.000160201,-4.34738e-22
0.00032514,108.386,0.518171,-0.00022292,4.97903e-21
0.000380462,108.383,0.606028,-0.000304691,-3.46237e-21
0.000441964,108.38,0.703636,-0.000410461,-4.50221e-21
0.000510354,108.377,0.812104,-0.0005464,6.73895e-21
0.000586425,108.373,0.932664,-0.000720193,5.99622e-21
0.000671064,108.369,1.06669,-0.0009414,4.54382e-21
0.000765262,108.365,1.21572,-0.00122191,-7.2664e-21
0.000870126,108.36,1.38145,-0.00157649,-1.07004e-20
0.000986897,108.354,1.5658,-0.00202348,-2.13288e-20
0.00111696,108.348,1.77088,-0.00258562,-5.99537e-22
0.00126187,108.342,1.99905,-0.00329106,-1.12968e-20
0.00142335,108.335,2.25294,-0.00417469,1.37736e-20
0.00160336,108.327,2.53547,-0.00527961,1.08329e-19
0.00180407,108.318,2.84992,-0.00665902,-8.28832e-20
0.0020279,108.308,3.19989,-0.00837852,-1.22801e-19
0.0022776,108.298,3.58943,-0.0105188,9.02897e-20
0.0025562,108.286,4.02302,-0.0131789,8.84147e-20
0.00286714,108.273,4.50565,-0.0164801,5.42027e-20
0.00321425,108.259,5.04287,-0.0205703,1.39135e-19
0.00360181,108.243,5.64088,-0.0256292,3.96268e-20
0.00403464,108.226,6.30658,-0.0318745,-4.71986e-19
0.00451813,108.206,7.04768,-0.0395672,-2.0009e-20
0.00505834,108.185,7.87284,-0.0490176,1.47945e-20
