y,p,U_0,U_1,U_2
0,111.072,0,0,0
1.37955e-05,111.071,0.0164272,-1.10934e-06,6.04672e-25
2.92331e-05,111.07,0.0343388,-4.47548e-06,-6.92491e-23
4.65113e-05,111.068,0.0543896,-1.11602e-05,8.43452e-24
6.58528e-05,111.066,0.0768396,-2.22949e-05,-9.81397e-23
8.75077e-05,111.063,0.101981,-3.92738e-05,2.00822e-22
0.000111757,111.06,0.130141,-6.39207e-05,-2.43411e-23
0.000138915,111.057,0.161691,-9.85796e-05,-4.49382e-22
0.000169336,111.054,0.197043,-0.000146235,2.58076e-22
0.000203417,111.05,0.236664,-0.00021068,8.71649e-22
0.000241604,111.046,0.28108,-0.000296727,-7.03987e-22
0.000284398,111.041,0.33088,-0.000410472,4.28352e-22
0.000332361,111.036,0.386729,-0.000559627,3.14941e-21
0.000386126,111.03,0.449374,-0.000753936,-1.41547e-21
0.000446401,111.023,0.519658,-0.00100569,-2.86583e-21
0.000513985,111.016,0.598531,-0.00133036,4.72902e-21
0.000589773,111.008,0.687061,-0.00174745,-5.74663e-22
0.000674771,110.998,0.786457,-0.00228142,-2.46751e-21
0.000770111,110.988,0.898081,-0.00296299,-3.52798e-21
0.000877061,110.977,1.02347,-0.00383065,5.03153e-21
0.000997051,110.964,1.16436,-0.00493256,-5.39191e-21
0.00113168,110.95,1.32273,-0.00632886,-6.9443e-21
0.00128277,110.935,1.50079,-0.00809453,-1.19456e-21
0.00145232,110.918,1.70107,-0.0103229,-2.44825e-20
0.00164263,110.899,1.92644,-0.0131297,2.70183e-20
0.00185625,110.878,2.18015,-0.0166583,1.19903e-20
0.00209606,110.855,2.46593,-0.0210856,-1.25055e-20
0.0023653,110.83,2.78799,-0.0266291,5.51014e-20
0.0026676,110.802,3.15122,-0.033555,-4.72718e-21
0.00300706,110.772,3.56117,-0.0421875,-4.38734e-20
0.00338828,110.739,4.02431,-0.052919,0
0.00381642,110.704,4.54809,-0.0662208,1.44378e-19
0.0042973,110.665,5.14125,-0.0826538,-1.69742e-20
0.00483747,110.622,5.81404,-0.102878,-3.08877e-19
0.00544427,110.578,6.54552,-0.126544,-2.14907e-19
0.00602098,110.534,7.28921,-0.152143,-5.20119e-22
0.00660124,110.491,8.03644,-0.179173,7.97564e-20
0.00718535,110.448,8.79886,-0.207859,2.81559e-19
0.00777365,110.404,9.57766,-0.238075,-8.2547e-22
0.00836651,110.359,10.374,-0.269693,-2.44199e-19
0.00896431,110.311,11.1893,-0.302584,1.35473e-19
0.00956749,110.261,12.0245,-0.336621,1.10972e-19
0.0101765,110.209,12.8812,-0.371675,-2.86264e-20
0.0107919,110.152,13.7605,-0.407618,2.28872e-22
0.0114142,110.091,14.6637,-0.444322,2.96839e-20
0.012044,110.025,15.5921,-0.481662,-3.84594e-19
0.0126819,109.953,16.5468,-0.519512,2.64021e-21
0.0133287,109.874,17.5291,-0.557747,9.96929e-19
0.0139851,109.79,18.5197,-0.595469,6.1005e-19
