y,p,U_0,U_1,U_2
0,77.2362,0,0,0
3.14746e-05,77.2809,0.0588439,-1.42869e-06,4.51868e-22
6.60267e-05,77.2802,0.122012,-3.09955e-06,-4.09862e-22
0.000103967,77.2792,0.19134,-5.40123e-06,-3.5999e-22
0.000145639,77.2781,0.267443,-8.96676e-06,-1.51989e-21
0.00019142,77.2769,0.351002,-1.4235e-05,2.81e-21
0.000241731,77.2757,0.442767,-2.16243e-05,6.53647e-22
0.000297035,77.2745,0.543565,-3.16609e-05,-5.35773e-21
0.000357842,77.2732,0.654306,-4.50098e-05,4.12951e-21
0.00042472,77.2719,0.775997,-6.24924e-05,2.67455e-21
0.000498295,77.2705,0.909746,-8.51172e-05,-1.2338e-20
0.00057926,77.269,1.05678,-0.000114122,-5.14296e-22
0.000668385,77.2675,1.21844,-0.000151025,1.60527e-20
0.000766518,77.2659,1.39621,-0.00019769,-8.19161e-21
0.000874603,77.2642,1.59174,-0.0002564,-4.6841e-21
0.000993684,77.2624,1.80683,-0.000329957,1.02541e-20
0.00112492,77.2606,2.04348,-0.000421789,-2.48313e-20
0.00126959,77.2586,2.30386,-0.000536098,-1.95977e-20
0.00142912,77.2566,2.59041,-0.000678029,2.96521e-20
0.00160509,77.2544,2.90577,-0.00085388,1.04478e-19
0.00179926,77.252,3.25287,-0.00107136,2.15301e-20
0.00201356,77.2496,3.63492,-0.0013399,-1.24489e-19
0.00225017,77.2469,4.05544,-0.00167103,1.5116e-19
0.00251148,77.2441,4.51832,-0.00207886,1.74562e-20
0.00280017,77.241,5.02779,-0.00258061,-8.68608e-20
0.00311919,77.2378,5.5885,-0.0031973,8.65997e-20
0.00347186,77.2343,6.20553,-0.00395458,-2.61452e-20
0.00386182,77.2305,6.88444,-0.00488361,8.86633e-20
0.00429318,77.2263,7.63126,-0.0060222,-9.42817e-21
0.00477045,77.2218,8.45258,-0.00741634,-2.46621e-19
0.00529872,77.2168,9.35556,-0.00912245,-4.63243e-19
0.00588358,77.2112,10.3479,-0.0112085,3.96821e-19
0.00653133,77.2055,11.4381,-0.0137443,6.56779e-19
0.00724893,77.2001,12.6351,-0.0167756,-4.29766e-19
0.00804418,77.1941,13.9154,-0.0203248,6.05695e-19
0.00884411,77.1879,15.232,-0.0243871,-3.66957e-19
0.00967732,77.1817,16.5787,-0.0289342,4.0379e-19
0.0105467,77.1743,17.9693,-0.0339652,1.87396e-19
0.0114554,77.1653,19.4074,-0.0395037,-3.59643e-18
0.0124068,77.1543,20.8967,-0.0455634,-3.09612e-18
0.0134046,77.1411,22.4411,-0.0521406,7.3092e-19
0.0144529,77.1249,24.0446,-0.0592131,7.82642e-18
0.015556,77.1052,25.7114,-0.0667365,1.53539e-18
0.0167186,77.0812,27.4454,-0.0746371,-1.68338e-18
0.0179461,77.0518,29.2506,-0.0828028,1.51575e-18
0.0192439,77.0159,31.1301,-0.0910779,-2.99623e-18
0.0206183,76.9716,33.0863,-0.0992844,-1.70598e-18
0.0220757,76.9164,35.12,-0.107269,-2.83584e-18
0.0236235,76.8512,37.179,-0.114522,-3.12446e-21
0.0251188,76.7781,39.1841,-0.120427,5.60006e-18
0.0266308,76.6956,41.1298,-0.124959,6.45255e-19
0.0281605,76.6036,43.0324,-0.128226,5.58809e-18
0.0297091,76.5017,44.8843,-0.130183,2.11456e-18
0.0312776,76.3896,46.6778,-0.130844,-1.11058e-17
0.0328671,76.2669,48.4045,-0.130271,-1.10041e-17
0.0344791,76.1336,50.0563,-0.128555,2.76307e-18
0.0361147,75.9896,51.6252,-0.125805,1.98226e-17
0.0377755,75.835,53.1032,-0.122136,-5.51577e-18
0.0394628,75.6698,54.4829,-0.117661,-6.6676e-18
0.0411783,75.4937,55.7571,-0.112511,1.91829e-17
0.0429237,75.3063,56.919,-0.106858,-5.10681e-18
0.0447007,75.1065,57.9743,-0.100649,-1.38676e-17
0.0466033,74.8911,58.9244,-0.0936699,-7.33277e-18
0.0485581,74.6629,59.744,-0.0860759,1.93516e-19
0.0505693,74.4243,60.4106,-0.078013,7.22015e-18
0.052641,74.1757,60.9114,-0.0694259,0
0.0547778,73.9174,61.2316,-0.0603028,5.74624e-18
0.0569848,73.6506,61.3544,-0.050615,6.79315e-18
0.0592671,73.3839,61.2671,-0.0403793,1.45898e-19
0.0613745,73.1311,60.9827,-0.029924,-1.36118e-17
0.0634562,72.888,60.5161,-0.0194094,-1.22461e-17
0.0655323,72.6518,59.8637,-0.00872113,3.90422e-18
0.0676215,72.4218,59.0175,0.00226691,1.24635e-17
0.0697419,72.1977,57.9629,0.0135884,-2.93206e-18
0.0719109,71.9799,56.6788,0.0252406,9.36398e-18
0.0741455,71.7692,55.1377,0.0371679,-1.13311e-17
0.0764622,71.5673,53.3062,0.0492353,-2.07718e-17
0.0788777,71.3762,51.1451,0.0611888,2.35661e-17
0.0814085,71.1987,48.6111,0.0726011,1.96156e-17
0.0840713,71.0382,45.6584,0.0828005,3.97332e-18
0.0868834,70.898,42.2427,0.0907877,-1.0339e-17
0.0898623,70.7811,38.3256,0.0951815,-3.05933e-18
0.093026,70.6901,33.881,0.0942983,-1.65294e-17
0.0963936,70.6255,28.898,0.0864355,-7.13676e-18
0.0999848,70.5864,23.924,0.0722293,1.41361e-17
0.102408,70.5724,19.8272,0.0568535,-3.71771e-18
0.10442,70.5695,16.5899,0.0437249,-3.94509e-18
0.106092,70.572,13.8672,0.0328087,2.7325e-19
0.10748,70.5773,11.5813,0.0241755,7.76426e-19
0.108635,70.5838,9.66441,0.0175692,1.3849e-18
0.109594,70.5909,8.05841,0.0126317,6.54237e-19
0.110392,70.5979,6.71399,0.00900502,-2.25633e-19
0.111055,70.6045,5.58934,0.00637544,-5.69959e-19
0.111607,70.6106,4.64905,0.00448766,3.53881e-19
0.112067,70.6161,3.86327,0.00314294,3.45244e-22
0.112449,70.621,3.2068,0.00219105,-7.01416e-20
0.112768,70.6254,2.6585,0.00152074,-6.94208e-20
0.113033,70.6293,2.20058,0.00105083,-5.1212e-20
0.113254,70.6327,1.81815,0.000722722,1.78005e-20
0.113439,70.6357,1.49875,0.0004945,-1.18982e-20
0.113593,70.6384,1.23194,0.000336354,-1.73066e-20
0.113721,70.6407,1.00902,0.000227206,8.65403e-21
0.113828,70.6428,0.822715,0.000152209,3.71217e-21
0.113918,70.6447,0.666963,0.000100942,8.71021e-21
0.113993,70.6465,0.536703,6.61142e-05,-4.32402e-21
0.114055,70.648,0.427716,4.2637e-05,-4.75712e-21
0.114108,70.6495,0.336486,2.69681e-05,1.19194e-21
0.114151,70.6509,0.260079,1.66451e-05,2.30027e-22
0.114188,70.6522,0.196053,9.96464e-06,-2.16177e-23
0.114219,70.6534,0.14237,5.76077e-06,2.70895e-22
0.114245,70.6546,0.097331,3.2365e-06,-4.03779e-23
0.114266,70.6557,0.0595202,1.78189e-06,-1.41293e-22
0.114285,70.6566,0.0277558,8.12357e-07,5.49476e-23
0.1143,70.6703,0,0,0
