y,Ux,Uy,p
0.0,0.0,0.0,102.963
1.15632e-05,0.0100712,-1.15258e-06,102.962
2.45817e-05,0.0211128,-4.62721e-06,102.96
3.92387e-05,0.0335569,-1.15577e-05,102.958
5.57405e-05,0.0475835,-2.31818e-05,102.955
7.43191e-05,0.0633961,-4.10373e-05,102.952
9.5236e-05,0.0812248,-6.71464e-05,102.949
0.000118785,0.10133,-0.000104126,102.945
0.000145299,0.124006,-0.00015533,102.941
0.000175149,0.149588,-0.000225049,102.936
0.000208756,0.178454,-0.000318759,102.931
0.000246594,0.211034,-0.000443436,102.925
0.000289193,0.247815,-0.000607955,102.919
0.000337153,0.289352,-0.00082358,102.912
0.00039115,0.336276,-0.00110459,102.904
0.000451943,0.389303,-0.00146906,102.895
0.000520387,0.449252,-0.00193983,102.885
0.000597446,0.517057,-0.0025457,102.875
0.000684203,0.593785,-0.00332296,102.863
0.000781879,0.680659,-0.00431725,102.85
0.000891849,0.779082,-0.00558575,102.836
0.00101566,0.890667,-0.0071998,102.821
0.00115505,1.01728,-0.00924794,102.804
0.00131199,1.16106,-0.0118421,102.786
0.00148868,1.32423,-0.01512,102.765
0.0016876,1.50915,-0.019252,102.74
0.00191157,1.71898,-0.0244594,102.711
0.00216372,1.95764,-0.0310151,102.678
0.0024476,2.22962,-0.0392428,102.641
0.00276722,2.54022,-0.0495299,102.601
0.00312706,2.89563,-0.0623389,102.557
0.00353219,3.30324,-0.0782205,102.511
0.00398831,3.77182,-0.0978308,102.461
0.00450184,4.31191,-0.12195,102.409
0.00508,4.90726,-0.150085,102.357
0.00562429,5.51782,-0.18029,102.307
0.00616857,6.13521,-0.21191,102.259
0.00671286,6.76901,-0.245208,102.212
0.00725714,7.41955,-0.279992,102.165
0.00780143,8.08711,-0.316071,102.117
0.00834571,8.77189,-0.353259,102.069
0.00889,9.47405,-0.391374,102.02
0.00943429,10.1936,-0.430242,101.969
0.00997857,10.9306,-0.469693,101.916
0.0105229,11.685,-0.509568,101.861
0.0110671,12.4563,-0.549713,101.802
0.0116114,13.2445,-0.589987,101.741
0.0121557,14.049,-0.63026,101.676
0.0127,14.849,-0.669429,101.61
0.0131908,15.6336,-0.706949,101.543
0.0137109,16.4451,-0.744803,101.469
0.0142618,17.3184,-0.784432,101.386
0.0148456,18.258,-0.825765,101.292
0.015464,19.2679,-0.868703,101.186
0.0161192,20.3525,-0.913123,101.065
0.0168134,21.5157,-0.958866,100.928
0.0175488,22.7611,-1.00574,100.771
0.018328,24.0917,-1.05351,100.592
0.0191535,25.5095,-1.10191,100.386
0.0200281,27.0158,-1.15065,100.15
0.0209547,28.6101,-1.19942,99.8802
0.0219364,30.3585,-1.2498,99.5568
0.0231369,32.3353,-1.30313,99.1553
0.0244285,34.4835,-1.35708,98.6726
0.0258182,36.7348,-1.40952,98.1078
0.0273134,39.0738,-1.45997,97.4491
0.028922,41.4808,-1.50797,96.6837
0.0306527,43.9326,-1.55307,95.7988
0.0325148,46.4025,-1.59477,94.7821
0.0345183,48.8609,-1.63248,93.6205
0.0366737,51.2744,-1.66547,92.3014
0.0389928,53.6057,-1.69286,90.8146
0.0414879,55.8117,-1.71355,89.1523
0.0441724,57.8424,-1.72627,87.3107
0.0470606,59.6394,-1.72962,85.2885
0.050168,61.1349,-1.72193,83.0944
0.0535113,62.2498,-1.70159,80.7354
0.0571083,62.8914,-1.66619,78.2407
0.0609783,62.9484,-1.61336,75.6404
0.0651421,62.2967,-1.54169,72.9713
0.0696219,60.7594,-1.44386,70.321
0.0744416,58.0793,-1.31487,67.747
0.0796273,53.9329,-1.14612,65.3968
0.0852064,47.9362,-0.933265,63.4177
0.0912091,40.5637,-0.701961,61.9315
0.0952065,33.8777,-0.510267,61.0631
0.0985148,28.2028,-0.365671,60.5815
0.101253,23.2992,-0.257142,60.2971
0.103519,19.1653,-0.178051,60.1145
0.105394,15.731,-0.122259,59.9972
0.106946,12.9007,-0.0834342,59.9158
0.10823,10.5771,-0.0567315,59.8571
0.109293,8.67201,-0.0384761,59.813
0.110173,7.11018,-0.0260433,59.7787
0.110901,5.82893,-0.0175961,59.7516
0.111503,4.77689,-0.0118664,59.7298
0.112002,3.91219,-0.00798527,59.7123
0.112415,3.20078,-0.00535946,59.6979
0.112756,2.61495,-0.00358528,59.6863
0.113039,2.13217,-0.00238835,59.6767
0.113273,1.73404,-0.00158245,59.6688
0.113467,1.40552,-0.00104129,59.6623
0.113627,1.13431,-0.000679165,59.6569
0.113759,0.910312,-0.000437984,59.6525
0.113869,0.725251,-0.000278336,59.6488
0.11396,0.572311,-0.000173512,59.6458
0.114035,0.445886,-0.000105425,59.6432
0.114097,0.341358,-6.18446e-05,59.6412
0.114149,0.25492,-3.45151e-05,59.6394
0.114191,0.18343,-1.78775e-05,59.638
0.114227,0.124297,-8.21113e-06,59.6368
0.114256,0.0753808,-3.04954e-06,59.6358
0.11428,0.034912,-7.18808e-07,59.635
0.1143,0.0,0.0,59.6346
