y,Ux,Uy,p
0.0,0.0,0.0,2.73622
1.16038e-05,-0.00761637,-1.37412e-06,2.73504
2.5503e-05,-0.0163456,-5.96856e-06,2.73229
4.21714e-05,-0.0267615,-1.60844e-05,2.72891
6.21837e-05,-0.0391909,-3.48351e-05,2.72494
8.6237e-05,-0.05402,-6.67935e-05,2.7202
0.000115177,-0.0717022,-0.00011883,2.71452
0.000150032,-0.0927658,-0.000201159,2.70768
0.000192049,-0.11782,-0.000328884,2.69947
0.000242745,-0.147557,-0.000524287,2.6896
0.000303965,-0.182749,-0.000820194,2.67773
0.00037795,-0.224231,-0.00126488,2.66346
0.00046743,-0.272867,-0.00192925,2.64631
0.000575724,-0.329486,-0.00291728,2.62572
0.000706877,-0.394766,-0.00438124,2.60101
0.00086581,-0.469051,-0.00654373,2.57139
0.00105852,-0.552044,-0.00972966,2.53594
0.00129231,-0.642338,-0.0144121,2.4936
0.00157607,-0.73667,-0.0212784,2.44311
0.00192067,-0.828801,-0.0313239,2.38306
0.00233931,-0.907798,-0.0459848,2.31178
0.00284812,-0.955474,-0.0673282,2.22718
0.00346676,-0.942572,-0.0983232,2.12659
0.00421919,-0.823156,-0.143176,2.00873
0.00513467,-0.563723,-0.200604,1.89243
0.00587565,-0.209462,-0.260213,1.79711
0.00652515,0.181577,-0.316197,1.71897
0.00709776,0.592203,-0.369054,1.65337
0.00760626,1.00782,-0.418561,1.59867
0.00806181,1.4203,-0.464814,1.55298
0.00847431,1.82602,-0.508121,1.51457
0.00885252,2.22455,-0.548922,1.48206
0.00920431,2.61769,-0.587726,1.45436
0.00953684,3.00889,-0.625086,1.43052
0.00985666,3.39447,-0.660815,1.40978
0.0101432,3.7638,-0.694112,1.39232
0.0104085,4.11522,-0.725017,1.37806
0.0106555,4.45264,-0.754017,1.36625
0.0108868,4.7774,-0.781341,1.35644
0.0111047,5.09091,-0.807193,1.34831
0.011311,5.3945,-0.831758,1.34163
0.0115073,5.68949,-0.855196,1.33618
0.0116952,5.97706,-0.877652,1.3318
0.0118757,6.25832,-0.899248,1.32836
0.0120499,6.53428,-0.920094,1.32574
0.0122188,6.80584,-0.940283,1.32386
0.012383,7.0738,-0.959894,1.32267
0.0125432,7.33888,-0.978999,1.32209
0.0127,7.59695,-0.997319,1.32192
0.0128426,7.84953,-1.01499,1.32221
0.0129967,8.11435,-1.03325,1.32318
0.0131635,8.40468,-1.05294,1.32487
0.0133446,8.72401,-1.07423,1.32733
0.0135418,9.07641,-1.09727,1.33075
0.0137571,9.46673,-1.12225,1.33534
0.013993,9.90072,-1.14936,1.34139
0.0142522,10.3852,-1.17883,1.34922
0.0145382,10.9284,-1.21089,1.35926
0.0148549,11.5401,-1.24577,1.37203
0.015207,12.232,-1.2837,1.38816
0.0156001,13.018,-1.32488,1.40856
0.0160408,13.935,-1.37044,1.43522
0.0165772,15.0285,-1.42136,1.47027
0.0171859,16.3099,-1.47657,1.51544
0.0178791,17.7898,-1.53464,1.57385
0.0186712,19.4978,-1.59456,1.65046
0.0195793,21.4641,-1.65494,1.75302
0.0206241,23.7165,-1.71405,1.89409
0.0218301,26.2766,-1.77013,2.09392
0.0232267,29.1569,-1.82188,2.38357
0.0248493,32.3582,-1.86894,2.80852
0.02674,35.8711,-1.91177,3.4314
0.0289496,39.6756,-1.95077,4.33292
0.0315392,43.7361,-1.98487,5.61635
0.0345821,47.9841,-2.01147,7.39456
0.0381665,52.2948,-2.02563,9.81795
0.0423987,56.4585,-2.0228,12.9651
0.0474067,60.1513,-1.99328,16.9947
0.0533446,62.8378,-1.93087,21.6416
0.059148,64.0688,-1.84728,26.1723
0.0650305,63.8522,-1.74056,30.4056
0.0709979,62.1351,-1.60459,34.1484
0.0770568,58.7354,-1.43095,37.3878
0.0832712,53.5427,-1.21926,39.8389
0.0887813,47.2872,-1.00052,41.4303
0.0931161,41.0011,-0.797475,42.3679
0.0967179,35.0801,-0.619933,42.8094
0.0997107,29.6824,-0.471804,43.0363
0.102197,24.9152,-0.351531,43.1168
0.104264,20.7977,-0.257714,43.1308
0.105981,17.2954,-0.186307,43.1078
0.107407,14.3464,-0.133197,43.0692
0.108593,11.8792,-0.0943511,43.0251
0.109578,9.82312,-0.0663175,42.9811
0.110396,8.11356,-0.0462999,42.9398
0.111076,6.69382,-0.0321277,42.9024
0.111641,5.51546,-0.0221651,42.8693
0.112111,4.53766,-0.0152043,42.8404
0.112501,3.72628,-0.0103673,42.8155
0.112825,3.05294,-0.00702334,42.7942
0.113095,2.49408,-0.00472324,42.7761
0.113319,2.03017,-0.00314941,42.7608
0.113505,1.64501,-0.00207865,42.7478
0.113659,1.3252,-0.00135486,42.7369
0.113788,1.05961,-0.000869346,42.7278
0.113894,0.839033,-0.000546709,42.7201
0.113983,0.655819,-0.000334845,42.7137
0.114057,0.503627,-0.000197873,42.7084
0.114118,0.377197,-0.00011118,42.7039
0.114169,0.272162,-5.79483e-05,42.7002
0.114211,0.184898,-2.67713e-05,42.697
0.114247,0.112394,-9.9953e-06,42.6944
0.114276,0.0521518,-2.36014e-06,42.6922
0.1143,0.0,0.0,42.6913
