y,Ux,Uy,p
0.0,0.0,0.0,108.395
1.95048e-05,0.0318492,-1.10265e-06,108.401
4.11234e-05,0.0663039,-3.94392e-06,108.4
6.50921e-05,0.104494,-9.34151e-06,108.399
9.16746e-05,0.146835,-1.81806e-05,108.397
0.000121165,0.193794,-3.14698e-05,108.396
0.000153891,0.245886,-5.04845e-05,108.394
0.000190219,0.30369,-7.68403e-05,108.392
0.000230557,0.367847,-0.000112566,108.39
0.000275361,0.439074,-0.000160201,108.388
0.00032514,0.518171,-0.00022292,108.386
0.000380462,0.606028,-0.000304691,108.383
0.000441964,0.703636,-0.000410461,108.38
0.000510354,0.812104,-0.0005464,108.377
0.000586425,0.932664,-0.000720193,108.373
0.000671064,1.06669,-0.0009414,108.369
0.000765262,1.21572,-0.00122191,108.365
0.000870126,1.38145,-0.00157649,108.36
0.000986897,1.5658,-0.00202348,108.354
0.00111696,1.77088,-0.00258562,108.348
0.00126187,1.99905,-0.00329106,108.342
0.00142335,2.25294,-0.00417469,108.335
0.00160336,2.53547,-0.00527961,108.327
0.00180407,2.84992,-0.00665902,108.318
0.0020279,3.19989,-0.00837852,108.308
0.0022776,3.58943,-0.0105188,108.298
0.0025562,4.02302,-0.0131789,108.286
0.00286714,4.50565,-0.0164801,108.273
0.00321425,5.04287,-0.0205703,108.259
0.00360181,5.64088,-0.0256292,108.243
0.00403464,6.30658,-0.0318745,108.226
0.00451813,7.04768,-0.0395672,108.206
0.00505834,7.87284,-0.0490176,108.185
0.00566203,8.79177,-0.0605867,108.162
0.00633681,9.77816,-0.0741601,108.136
0.00699184,10.7786,-0.0890714,108.109
0.00765973,11.7845,-0.105123,108.081
0.00834156,12.81,-0.122466,108.052
0.00903857,13.8575,-0.141079,108.02
0.00975207,14.9298,-0.160936,107.985
0.0104835,16.0296,-0.182,107.946
0.0112344,17.16,-0.204223,107.903
0.0120064,18.3243,-0.227545,107.855
0.0128014,19.5258,-0.251892,107.8
0.0136215,20.7683,-0.277173,107.737
0.0144687,22.0552,-0.30328,107.666
0.0153454,23.3904,-0.330082,107.584
0.0162542,24.7773,-0.357434,107.489
0.0171979,26.1944,-0.384696,107.382
0.0181141,27.6127,-0.411151,107.263
0.0190542,29.0466,-0.436921,107.13
0.0200197,30.5148,-0.462195,106.98
0.0210121,32.0163,-0.486811,106.811
0.022033,33.5492,-0.510607,106.621
0.0230841,35.1108,-0.533438,106.408
0.0241671,36.6979,-0.555174,106.17
0.0252841,38.3061,-0.575706,105.903
0.026437,39.9303,-0.594945,105.606
0.0276279,41.5647,-0.612826,105.275
0.0288591,43.2026,-0.629302,104.909
0.030133,44.8368,-0.644372,104.502
0.0314522,46.4981,-0.65838,104.042
0.032951,48.2177,-0.671435,103.507
0.0345247,49.9492,-0.683089,102.9
0.0361788,51.6455,-0.693018,102.223
0.0379195,53.2913,-0.701149,101.471
0.0397534,54.8693,-0.707367,100.637
0.0416876,56.3606,-0.711496,99.7167
0.0437296,57.7276,-0.713248,98.719
0.0457794,58.9322,-0.712495,97.6613
0.0479062,59.9687,-0.709179,96.539
0.0501253,60.8312,-0.703119,95.3422
0.0524518,61.4992,-0.693977,94.0683
0.0549009,61.9447,-0.681347,92.7165
0.0574885,62.1319,-0.664717,91.2887
0.0602305,62.0149,-0.643443,89.7902
0.0631437,61.5359,-0.616695,88.2312
0.0662453,60.6211,-0.583407,86.6279
0.0695537,59.1762,-0.542251,85.0042
0.0730878,57.0817,-0.491706,83.3937
0.0768677,54.1907,-0.43035,81.8406
0.0809148,50.3341,-0.357381,80.3998
0.0852516,45.3366,-0.273168,79.1363
0.0899023,39.0579,-0.18037,78.1182
0.0948924,32.2335,-0.0994045,77.4193
0.0982288,26.4522,-0.050568,77.0454
0.100993,21.8622,-0.0243518,76.8611
0.103283,18.0365,-0.00971898,76.7593
0.105181,14.8717,-0.00223364,76.7021
0.106754,12.2617,0.00117358,76.6696
0.108057,10.1109,0.00241633,76.6513
0.109137,8.33813,0.00260035,76.641
0.110032,6.8759,0.00232733,76.6354
0.110775,5.6689,0.0019054,76.6326
0.11139,4.67182,0.0014798,76.6314
0.1119,3.84759,0.00110971,76.6312
0.112323,3.16581,0.000811449,76.6316
0.112674,2.60155,0.000581951,76.6322
0.112965,2.13434,0.000410778,76.6329
0.113207,1.7473,0.000285956,76.6337
0.113407,1.42656,0.000196505,76.6344
0.113573,1.16066,0.000133308,76.6351
0.113711,0.940156,8.92098e-05,76.6357
0.113826,0.75723,5.87926e-05,76.6362
0.113921,0.605434,3.80531e-05,76.6367
0.114,0.479434,2.4087e-05,76.6371
0.114065,0.374815,1.48157e-05,76.6374
0.11412,0.287923,8.7682e-06,76.6377
0.114165,0.215734,4.9129e-06,76.6379
0.114203,0.155741,2.53134e-06,76.6381
0.114234,0.105868,1.12883e-06,76.6382
0.11426,0.0643961,3.75618e-07,76.6384
0.114282,0.0298981,5.60608e-08,76.6385
0.1143,0.0,0.0,76.6377
