y,Ux,Uy,p
0.0,0.0,0.0,93.7738
2.53958e-05,0.0458007,-1.17006e-06,93.8081
5.33838e-05,0.0951221,-3.24515e-06,93.8071
8.42377e-05,0.149472,-6.76845e-06,93.8059
0.000118261,0.209379,-1.24202e-05,93.8046
0.000155792,0.275429,-2.08371e-05,93.8032
0.000197203,0.34827,-3.27566e-05,93.8018
0.00024291,0.42862,-4.91053e-05,93.8003
0.000293374,0.517277,-7.10425e-05,93.7987
0.000349108,0.615122,-0.000100006,93.797
0.000410681,0.723134,-0.000137775,93.7952
0.000478726,0.842396,-0.000186548,93.7933
0.000553945,0.974111,-0.000249045,93.7912
0.000637123,1.11961,-0.000328623,93.789
0.000729129,1.28036,-0.000429427,93.7867
0.000830933,1.45801,-0.000556567,93.7842
0.000943611,1.65436,-0.000716349,93.7815
0.00106837,1.87141,-0.000916542,93.7786
0.00120653,2.11139,-0.00116672,93.7755
0.00135961,2.37674,-0.00147866,93.7721
0.00152924,2.67019,-0.00186688,93.7685
0.00171729,2.99473,-0.00234922,93.7645
0.00192581,3.35368,-0.00294763,93.7602
0.00215711,3.7507,-0.00368905,93.7556
0.00241374,4.18982,-0.00460657,93.7505
0.00269858,4.67549,-0.00574074,93.745
0.00301482,5.21262,-0.00714121,93.7389
0.00336602,5.80659,-0.00886863,93.7323
0.00375616,6.46333,-0.0109969,93.725
0.00418968,7.18933,-0.0136159,93.7169
0.00467156,7.99175,-0.0168349,93.708
0.00520733,8.87841,-0.0207853,93.698
0.00580319,9.85789,-0.0256192,93.687
0.00646608,10.9396,-0.0314993,93.675
0.00720373,12.0973,-0.0384144,93.662
0.00793322,13.2787,-0.0461497,93.6486
0.00868545,14.4759,-0.054643,93.6341
0.00946241,15.7035,-0.063964,93.6179
0.0102662,16.9646,-0.0741314,93.5993
0.0110992,18.2626,-0.0851546,93.5779
0.011964,19.6011,-0.0970293,93.5532
0.0128632,20.9839,-0.109735,93.5242
0.0138,22.4151,-0.123232,93.4902
0.0147774,23.8991,-0.137458,93.4501
0.0157991,25.44,-0.15232,93.4026
0.016869,27.0424,-0.167691,93.3462
0.0179911,28.7102,-0.183415,93.279
0.01917,30.4469,-0.19932,93.1986
0.0204107,32.2198,-0.214873,93.1041
0.0216207,33.9774,-0.229391,92.9978
0.022851,35.7204,-0.242739,92.8781
0.0241028,37.4632,-0.254952,92.7433
0.0253775,39.2011,-0.265921,92.5926
0.0266763,40.9288,-0.275564,92.4247
0.0280007,42.6401,-0.283833,92.2386
0.0293522,44.3283,-0.290714,92.0331
0.0307325,45.9861,-0.296223,91.8072
0.0321432,47.606,-0.300401,91.5599
0.0335862,49.1802,-0.303303,91.2903
0.0350633,50.7009,-0.305008,90.997
0.0365767,52.1601,-0.305639,90.6787
0.0381284,53.5733,-0.305256,90.329
0.0398325,54.9535,-0.303707,89.938
0.0416,56.2656,-0.300992,89.5097
0.0434357,57.4763,-0.297183,89.0471
0.0453449,58.5719,-0.292249,88.5491
0.0473331,59.5368,-0.286155,88.0149
0.0494064,60.3537,-0.278832,87.4446
0.051571,60.9922,-0.270265,86.8506
0.0536509,61.4317,-0.26068,86.2547
0.0557558,61.6782,-0.250128,85.6542
0.0579034,61.7316,-0.238455,85.0428
0.0601107,61.5789,-0.225441,84.4199
0.0623944,61.1993,-0.210872,83.7859
0.064771,60.5637,-0.194495,83.1423
0.0672571,59.6338,-0.176024,82.4925
0.0698694,58.3604,-0.155159,81.8416
0.0726247,56.6829,-0.131624,81.1971
0.0755406,54.5281,-0.105244,80.5696
0.0786348,51.8115,-0.0760916,79.9723
0.081926,48.441,-0.0447202,79.4213
0.0854336,44.3263,-0.0125259,78.9344
0.089178,39.3956,0.017884,78.5298
0.0931806,33.6215,0.042208,78.2208
0.0974641,27.7025,0.052881,78.0182
0.100339,22.809,0.0504713,77.9154
0.102724,18.9614,0.0431932,77.8682
0.104701,15.7507,0.0348207,77.8458
0.106342,13.0782,0.0269822,77.8364
0.107703,10.8554,0.020327,77.8343
0.108833,9.00712,0.0149985,77.8362
0.109771,7.4703,0.0108938,77.84
0.110549,6.19243,0.00781581,77.8447
0.111195,5.12985,0.00555215,77.8496
0.111732,4.24625,0.0039116,77.8545
0.112177,3.51148,0.00273606,77.8589
0.112548,2.90041,0.00190135,77.863
0.112855,2.39219,0.00131308,77.8666
0.113111,1.96945,0.000901145,77.8698
0.113324,1.61776,0.000614355,77.8725
0.113501,1.32512,0.000415776,77.8749
0.113648,1.08158,0.000279022,77.877
0.11377,0.878835,0.000185385,77.8788
0.113872,0.710018,0.000121678,77.8803
0.113957,0.569405,7.86574e-05,77.8816
0.114028,0.452248,4.98681e-05,77.8827
0.114087,0.354599,3.08224e-05,77.8837
0.114136,0.273179,1.84112e-05,77.8845
0.114177,0.205265,1.04877e-05,77.8852
0.114211,0.148591,5.57735e-06,77.8859
0.11424,0.101277,2.67404e-06,77.8864
0.114263,0.0617575,1.08759e-06,77.887
0.114283,0.0287321,3.15334e-07,77.8874
0.1143,0.0,0.0,77.8902
