y,Ux,Uy,p
0.0,0.0,0.0,-26.8794
1.16106e-05,-0.00836204,1.6683e-06,-26.8782
2.56565e-05,-0.018027,6.93105e-06,-26.8752
4.26602e-05,-0.0296756,1.85182e-05,-26.8714
6.32576e-05,-0.0437104,4.02256e-05,-26.8669
8.82233e-05,-0.0606106,7.76346e-05,-26.8615
0.000118501,-0.0809429,0.000139162,-26.8551
0.00015524,-0.105374,0.000237374,-26.8473
0.000199841,-0.134679,0.000390883,-26.838
0.000254011,-0.169751,0.0006271,-26.8269
0.000319833,-0.211599,0.000986148,-26.8137
0.000399843,-0.261341,0.00152636,-26.7981
0.000497136,-0.320166,0.00233185,-26.7798
0.000615486,-0.389281,0.00352263,-26.7584
0.000759498,-0.469789,0.00526752,-26.7339
0.000934787,-0.562503,0.00779954,-26.7063
0.00114821,-0.66763,0.0114313,-26.6761
0.00140812,-0.784277,0.0165646,-26.6445
0.00172472,-0.909679,0.023679,-26.6141
0.00211046,-1.038,0.0332687,-26.5893
0.00258055,-1.15852,0.0456638,-26.5782
0.00315353,-1.25278,0.0606124,-26.5935
0.00385204,-1.29025,0.0763997,-26.6546
0.00470373,-1.22137,0.0882149,-26.7855
0.00574233,-1.00131,0.0863812,-26.9847
0.00657366,-0.667979,0.0671376,-27.1984
0.00729408,-0.284069,0.0350686,-27.3848
0.0079201,0.127322,-0.00563246,-27.5389
0.00846603,0.546693,-0.0512459,-27.6597
0.00894425,0.961586,-0.0989701,-27.7507
0.00936552,1.36464,-0.146889,-27.8166
0.00973924,1.75219,-0.193819,-27.8626
0.0100736,2.12321,-0.239143,-27.8928
0.010376,2.4786,-0.282651,-27.9111
0.0106528,2.81644,-0.323906,-27.9206
0.0108964,3.13172,-0.362199,-27.9231
0.0111152,3.42431,-0.39747,-27.92
0.0113126,3.69704,-0.430054,-27.9133
0.0114918,3.95158,-0.460169,-27.9041
0.0116552,4.18968,-0.48805,-27.893
0.0118052,4.41305,-0.513932,-27.8807
0.0119436,4.62332,-0.53804,-27.8676
0.012072,4.82205,-0.560581,-27.8539
0.0121919,5.01066,-0.581747,-27.8399
0.0123044,5.19042,-0.60171,-27.8256
0.0124107,5.36252,-0.620623,-27.8111
0.0125116,5.528,-0.638619,-27.7965
0.0126078,5.68779,-0.65582,-27.7823
0.0127,5.84089,-0.672138,-27.7691
0.0127846,5.99104,-0.687986,-27.756
0.0128776,6.15097,-0.704699,-27.7407
0.0129804,6.32974,-0.723169,-27.7228
0.0130945,6.53053,-0.743644,-27.702
0.0132214,6.75722,-0.766413,-27.6779
0.0133634,7.01455,-0.791806,-27.6498
0.0135229,7.30827,-0.8202,-27.6169
0.0137028,7.64549,-0.852014,-27.5781
0.0139066,8.03494,-0.887705,-27.5321
0.0141385,8.4874,-0.927753,-27.4775
0.0144035,9.01617,-0.972631,-27.4124
0.0147076,9.6377,-1.02275,-27.3343
0.0150582,10.3828,-1.07913,-27.2388
0.0154839,11.2898,-1.14244,-27.1212
0.0159788,12.3833,-1.21135,-26.9783
0.0165559,13.6909,-1.28371,-26.8043
0.0172308,15.2528,-1.35702,-26.5898
0.0180222,17.111,-1.42774,-26.3187
0.0189526,19.3044,-1.49187,-25.9635
0.0200493,21.8631,-1.54611,-25.4779
0.0213448,24.8035,-1.58964,-24.7905
0.0228785,28.1285,-1.62512,-23.8031
0.0246978,31.834,-1.65736,-22.3946
0.0268599,35.9115,-1.69008,-20.4262
0.0294337,40.3394,-1.72369,-17.748
0.0325023,45.059,-1.75599,-14.2173
0.0361662,49.9436,-1.78194,-9.6729
0.0405466,54.7633,-1.79632,-4.05693
0.0457897,59.1457,-1.78775,2.76469
0.0520723,62.4482,-1.74749,10.2674
0.058149,64.1038,-1.68516,17.2683
0.0642652,64.1684,-1.59969,23.5766
0.070424,62.6479,-1.48489,29.0406
0.0766284,59.3976,-1.33344,33.6813
0.0829487,54.3579,-1.14543,37.1939
0.0883767,48.2975,-0.949908,39.475
0.0927677,42.1071,-0.765377,40.8443
0.0964184,36.1904,-0.600881,41.5513
0.0994537,30.7547,-0.461626,41.9315
0.101977,25.9188,-0.34719,42.1032
0.104075,21.7133,-0.256691,42.1686
0.10582,18.114,-0.186991,42.1755
0.10727,15.0669,-0.134585,42.154
0.108476,12.5057,-0.0958929,42.1198
0.109478,10.3628,-0.0677433,42.0814
0.110312,8.57481,-0.0475031,42.0434
0.111005,7.0856,-0.0330883,42.0079
0.111581,5.84645,-0.0229036,41.9759
0.11206,4.81593,-0.0157565,41.9476
0.112458,3.95917,-0.0107713,41.9229
0.11279,3.24698,-0.00731363,41.9017
0.113065,2.65498,-0.00492843,41.8835
0.113294,2.1629,-0.0032922,41.8681
0.113484,1.75387,-0.00217646,41.855
0.113643,1.41386,-0.00142073,41.8439
0.113774,1.13121,-0.000912858,41.8347
0.113884,0.896249,-0.00057479,41.8269
0.113975,0.700916,-0.000352448,41.8203
0.11405,0.538526,-0.000208496,41.8148
0.114113,0.403521,-0.000117263,41.8103
0.114165,0.29128,-6.1174e-05,41.8064
0.114209,0.197963,-2.82848e-05,41.8032
0.114245,0.120378,-1.05683e-05,41.8005
0.114275,0.0558723,-2.49728e-06,41.7983
0.1143,0.0,0.0,41.7974
