y,Ux,Uy,p
0.0,0.0,0.0,20.9043
1.37955e-05,0.0092163,-1.46543e-06,20.9032
2.92331e-05,0.0192821,-6.14189e-06,20.902
4.65113e-05,0.0305707,-1.55101e-05,20.9006
6.58528e-05,0.0432359,-3.11233e-05,20.8991
8.75077e-05,0.057452,-5.49234e-05,20.8974
0.000111757,0.0734162,-8.94623e-05,20.8954
0.000138915,0.0913525,-0.000138015,20.8933
0.000169336,0.111515,-0.000204748,20.8909
0.000203417,0.134194,-0.000294946,20.8883
0.000241604,0.159718,-0.00041531,20.8853
0.000284398,0.188464,-0.000574314,20.882
0.000332361,0.220862,-0.000782664,20.8783
0.000386126,0.257403,-0.00105386,20.8742
0.000446401,0.298653,-0.00140488,20.8696
0.000513985,0.345261,-0.0018571,20.8645
0.000589773,0.397977,-0.00243731,20.8588
0.000674771,0.457665,-0.0031791,20.8525
0.000770111,0.525328,-0.00412445,20.8455
0.000877061,0.602131,-0.00532578,20.8378
0.000997051,0.689432,-0.00684839,20.8292
0.00113168,0.788819,-0.00877342,20.8198
0.00128277,0.902155,-0.0112015,20.8094
0.00145232,1.03163,-0.0142568,20.7979
0.00164263,1.17985,-0.0180926,20.7853
0.00185625,1.34989,-0.0228967,20.7716
0.00209606,1.54542,-0.0288986,20.7566
0.0023653,1.77084,-0.0363771,20.7403
0.0026676,2.03144,-0.0456689,20.7226
0.00300706,2.33363,-0.0571773,20.7035
0.00338828,2.68517,-0.0713808,20.6828
0.00381642,3.09557,-0.0888414,20.6606
0.0042973,3.57647,-0.11021,20.6365
0.00483747,4.1422,-0.136231,20.6104
0.00544427,4.78106,-0.166318,20.5833
0.00602098,5.45498,-0.198452,20.5564
0.00660124,6.1558,-0.231949,20.5296
0.00718535,6.89406,-0.267046,20.502
0.00777365,7.67085,-0.303539,20.4731
0.00836651,8.48717,-0.341226,20.4425
0.00896431,9.34392,-0.379917,20.4097
0.00956749,10.2418,-0.419428,20.3741
0.0101765,11.1815,-0.459583,20.3351
0.0107919,12.1633,-0.500214,20.2922
0.0114142,13.1874,-0.541162,20.2448
0.012044,14.2537,-0.582276,20.1922
0.0126819,15.362,-0.623417,20.1337
0.0133287,16.5117,-0.664453,20.0687
0.0139851,17.678,-0.704431,19.9983
0.0145992,18.8413,-0.742741,19.9225
0.0152409,20.0396,-0.780688,19.8384
0.0159119,21.3055,-0.819204,19.7429
0.016614,22.6395,-0.858132,19.6344
0.0173491,24.0415,-0.897315,19.511
0.018119,25.5103,-0.936587,19.3706
0.0189258,27.0435,-0.975769,19.2109
0.0197718,28.6377,-1.01468,19.0295
0.0206593,30.288,-1.05312,18.8237
0.0215907,31.9883,-1.0909,18.5904
0.0225687,33.7313,-1.12784,18.3268
0.023596,35.5084,-1.16375,18.0289
0.0246755,37.3711,-1.19965,17.6807
0.0259626,39.372,-1.23629,17.2619
0.0273361,41.4427,-1.27206,16.7717
0.0288025,43.5128,-1.30561,16.2129
0.030369,45.5617,-1.3366,15.5789
0.0320431,47.5677,-1.36458,14.8627
0.033833,49.5069,-1.38904,14.0585
0.0357475,51.3473,-1.40937,13.1645
0.0377646,53.0551,-1.42503,12.1817
0.0399122,54.6104,-1.43574,11.1064
0.0422027,55.9958,-1.44121,9.93488
0.0446494,57.1909,-1.4412,8.66643
0.0472662,58.178,-1.43561,7.30254
0.0500679,58.9442,-1.42442,5.84662
0.05307,59.4817,-1.40775,4.30406
0.0562894,59.7864,-1.38568,2.68186
0.0597436,59.851,-1.35807,0.987889
0.0634517,59.6476,-1.32378,-0.766996
0.0674339,59.0921,-1.27989,-2.57263
0.0717118,57.997,-1.21972,-4.40233
0.0763087,56.0522,-1.13686,-6.22201
0.0812495,52.8031,-1.01963,-7.9665
0.0865609,47.6594,-0.857928,-9.53223
0.0922714,40.8307,-0.664156,-10.7135
0.0960782,34.2303,-0.491341,-11.3789
0.0992295,28.4389,-0.356499,-11.7421
0.101838,23.3626,-0.252087,-11.9537
0.103998,19.0723,-0.174817,-12.0806
0.105786,15.5257,-0.119879,-12.1584
0.107266,12.6292,-0.0816088,-12.209
0.108492,10.2769,-0.0553268,-12.2437
0.109506,8.36977,-0.0374172,-12.2686
0.110346,6.8229,-0.0252646,-12.2873
0.111042,5.5662,-0.0170368,-12.3018
0.111618,4.54312,-0.0114727,-12.3132
0.112095,3.70841,-0.00771252,-12.3224
0.11249,3.02595,-0.00517295,-12.3298
0.112817,2.46691,-0.00345909,-12.3358
0.113087,2.00817,-0.00230383,-12.3407
0.113312,1.63119,-0.00152643,-12.3447
0.113497,1.32098,-0.00100457,-12.348
0.113651,1.06545,-0.000655417,-12.3507
0.113779,0.854756,-0.000422862,-12.353
0.113884,0.680889,-0.000268889,-12.3548
0.113971,0.537317,-0.000167751,-12.3563
0.114044,0.41869,-0.000102022,-12.3576
0.114104,0.320626,-5.99226e-05,-12.3586
0.114154,0.239525,-3.34984e-05,-12.3595
0.114195,0.172428,-1.73955e-05,-12.3602
0.114229,0.116899,-8.02893e-06,-12.3608
0.114257,0.0709291,-3.01681e-06,-12.3613
0.114281,0.0328638,-7.31946e-07,-12.3617
0.1143,0.0,0.0,-12.3619
