y,Ux,Uy,p
0.0,0.0,0.0,-47.3092
1.15903e-05,-0.00781237,-1.20894e-06,-47.3097
2.51959e-05,-0.0166198,-5.20663e-06,-47.311
4.11938e-05,-0.02692,-1.37787e-05,-47.3124
6.0036e-05,-0.0389736,-2.92087e-05,-47.3141
8.22644e-05,-0.0530848,-5.47331e-05,-47.3161
0.00010853,-0.069607,-9.50732e-05,-47.3184
0.000139617,-0.0889478,-0.00015704,-47.3212
0.000176466,-0.111573,-0.000250414,-47.3244
0.000220213,-0.138011,-0.000389232,-47.3283
0.000272229,-0.168843,-0.000593631,-47.3329
0.000334164,-0.204705,-0.000892494,-47.3383
0.000408017,-0.246255,-0.00132724,-47.3447
0.000496201,-0.294138,-0.00195724,-47.3523
0.000601635,-0.348919,-0.00286759,-47.3613
0.000727854,-0.41096,-0.00418015,-47.372
0.000879141,-0.480241,-0.00606933,-47.3847
0.00106069,-0.556071,-0.00878436,-47.3997
0.00127878,-0.636638,-0.0126807,-47.4174
0.00154107,-0.718333,-0.0182637,-47.4382
0.00185682,-0.794727,-0.0262497,-47.4628
0.0022373,-0.855046,-0.0376504,-47.4917
0.00269619,-0.881913,-0.053892,-47.5258
0.00325013,-0.848056,-0.0769439,-47.5653
0.00391934,-0.728401,-0.106192,-47.604
0.00447964,-0.539015,-0.136953,-47.6365
0.00498729,-0.308992,-0.166752,-47.6648
0.00545308,-0.0475964,-0.196002,-47.6906
0.0058867,0.238352,-0.224768,-47.7143
0.00629695,0.54608,-0.253256,-47.7363
0.00669189,0.875921,-0.281769,-47.7572
0.00707907,1.2307,-0.310682,-47.7773
0.00746565,1.61538,-0.340427,-47.7971
0.00785851,2.03688,-0.371481,-47.8169
0.00826444,2.48828,-0.403283,-47.8366
0.00863691,2.94782,-0.434373,-47.8553
0.00899519,3.40929,-0.46448,-47.8728
0.0093413,3.87709,-0.494004,-47.8893
0.00967694,4.3509,-0.523002,-47.9051
0.0100036,4.83059,-0.551526,-47.9202
0.0103226,5.31613,-0.579623,-47.9347
0.0106349,5.80759,-0.607332,-47.9487
0.0109416,6.30504,-0.63469,-47.9621
0.0112433,6.80858,-0.661723,-47.9751
0.0115409,7.31829,-0.688455,-47.9877
0.0118349,7.83425,-0.714902,-47.9999
0.0121258,8.35648,-0.741077,-48.0117
0.012414,8.885,-0.766987,-48.0232
0.0127,9.40782,-0.792069,-48.0342
0.0129587,9.92122,-0.816191,-48.0446
0.0132347,10.4559,-0.840796,-48.055
0.0135296,11.0365,-0.866931,-48.0658
0.0138449,11.6675,-0.894673,-48.0771
0.0141825,12.3539,-0.924098,-48.0889
0.0145445,13.1014,-0.955275,-48.1013
0.0149331,13.9161,-0.988265,-48.1141
0.0153511,14.8049,-1.02311,-48.1275
0.0158015,15.7752,-1.05985,-48.1415
0.0162878,16.8351,-1.09847,-48.1558
0.016814,17.9932,-1.13893,-48.1705
0.0173849,19.2588,-1.18117,-48.1854
0.018006,20.6855,-1.22644,-48.2007
0.0187638,22.3353,-1.27585,-48.2162
0.0196001,24.1864,-1.3278,-48.23
0.0205255,26.2079,-1.38064,-48.2398
0.0215519,28.4023,-1.43385,-48.2429
0.0226935,30.7675,-1.48688,-48.2348
0.023967,33.2968,-1.53922,-48.2097
0.0253917,35.9782,-1.59035,-48.1592
0.0269906,38.7945,-1.63954,-48.0724
0.0287908,41.7209,-1.68574,-47.9354
0.0308242,44.7212,-1.72731,-47.7297
0.033129,47.741,-1.76203,-47.4332
0.0357502,50.7021,-1.78703,-47.0158
0.0387416,53.4989,-1.79939,-46.4501
0.042167,56.0013,-1.7957,-45.6914
0.0461029,58.0672,-1.77421,-44.7264
0.0506405,59.5664,-1.7329,-43.5078
0.0558892,60.4003,-1.67535,-42.0945
0.061146,60.6126,-1.61385,-40.6698
0.0665609,60.2701,-1.54409,-39.245
0.0721458,59.1968,-1.45877,-37.9109
0.0779136,56.9715,-1.34237,-36.6435
0.0839163,53.0138,-1.18157,-35.6161
0.0895906,47.4845,-0.993165,-34.8861
0.0938129,41.511,-0.805198,-34.4363
0.0973169,35.6432,-0.634936,-34.2455
0.100225,30.1323,-0.48813,-34.1428
0.102638,25.189,-0.365581,-34.1178
0.10464,20.8962,-0.268684,-34.119
0.106302,17.2509,-0.194148,-34.1385
0.107682,14.2005,-0.138557,-34.1634
0.108826,11.6707,-0.0978723,-34.1899
0.109776,9.58315,-0.0685674,-34.2154
0.110564,7.86475,-0.0477057,-34.2388
0.111219,6.45132,-0.0329893,-34.2597
0.111762,5.28856,-0.0226835,-34.2779
0.112212,4.33141,-0.0155101,-34.2938
0.112586,3.54282,-0.0105437,-34.3073
0.112897,2.89251,-0.00712235,-34.3189
0.113154,2.35575,-0.00477681,-34.3286
0.113368,1.91236,-0.00317694,-34.3369
0.113545,1.54582,-0.00209171,-34.3439
0.113693,1.24262,-0.00136023,-34.3497
0.113815,0.991675,-0.000870881,-34.3546
0.113916,0.783887,-0.000546537,-34.3587
0.114,0.611765,-0.00033408,-34.3621
0.11407,0.469139,-0.000197052,-34.3649
0.114128,0.350922,-0.000110522,-34.3673
0.114177,0.252913,-5.7508e-05,-34.3693
0.114216,0.171643,-2.65247e-05,-34.3709
0.11425,0.104241,-9.8886e-06,-34.3723
0.114277,0.0483327,-2.3311e-06,-34.3734
0.1143,0.0,0.0,-34.3739
