y,Ux,Uy,p
0.0,0.0,0.0,5.77229
1.15632e-05,0.0029168,-1.3229e-06,5.77175
2.45817e-05,0.00613444,-5.35349e-06,5.77052
3.92387e-05,0.00978556,-1.34192e-05,5.76907
5.57405e-05,0.0139323,-2.69659e-05,5.76749
7.43191e-05,0.0186467,-4.77974e-05,5.76573
9.5236e-05,0.0240124,-7.82909e-05,5.76375
0.000118785,0.0301267,-0.000121527,5.76153
0.000145299,0.0371034,-0.000181463,5.75905
0.000175149,0.0450758,-0.000263167,5.75626
0.000208756,0.0542002,-0.00037312,5.75314
0.000246594,0.0646613,-0.000519594,5.74964
0.000289193,0.0766772,-0.000713128,5.74574
0.000337153,0.0905069,-0.000967124,5.74137
0.00039115,0.106459,-0.0012986,5.7365
0.000451943,0.124901,-0.00172912,5.73108
0.000520387,0.146276,-0.00228597,5.72504
0.000597446,0.171115,-0.00300363,5.71833
0.000684203,0.200061,-0.00392555,5.71089
0.000781879,0.233892,-0.0051064,5.70266
0.000891849,0.273556,-0.00661471,5.69358
0.00101566,0.320211,-0.00853615,5.68361
0.00115505,0.375274,-0.0109779,5.67263
0.00131199,0.440492,-0.0140757,5.66045
0.00148868,0.517885,-0.0179886,5.64718
0.0016876,0.609826,-0.0229019,5.6325
0.00191157,0.719429,-0.0290598,5.61596
0.00216372,0.850677,-0.0367694,5.59769
0.0024476,1.00848,-0.0463955,5.57769
0.00276722,1.19896,-0.0583744,5.55593
0.00312706,1.42973,-0.0732251,5.53241
0.00353219,1.7103,-0.0915577,5.50716
0.00398831,2.05257,-0.114083,5.48014
0.00450184,2.47141,-0.141621,5.45134
0.00508,2.96092,-0.173508,5.42221
0.00562429,3.49056,-0.207464,5.39441
0.00616857,4.05191,-0.242704,5.36748
0.00671286,4.65253,-0.27949,5.34063
0.00725714,5.29204,-0.317579,5.31351
0.00780143,5.96987,-0.356741,5.28579
0.00834571,6.68532,-0.396759,5.25712
0.00889,7.43748,-0.437428,5.22717
0.00943429,8.22526,-0.478555,5.19561
0.00997857,9.0474,-0.519961,5.16213
0.0105229,9.90241,-0.56148,5.12644
0.0110671,10.7887,-0.602959,5.08825
0.0116114,11.7043,-0.644258,5.04734
0.0121557,12.6473,-0.685257,5.0036
0.0127,13.5916,-0.724861,4.95823
0.0131908,14.5222,-0.762561,4.91129
0.0137109,15.4881,-0.800372,4.85958
0.0142618,16.5296,-0.839719,4.80065
0.0148456,17.6506,-0.880502,4.73382
0.015464,18.8544,-0.922596,4.658
0.0161192,20.1437,-0.965853,4.5716
0.0168134,21.5203,-1.0101,4.47285
0.0175488,22.9848,-1.05512,4.35976
0.018328,24.5366,-1.10067,4.23014
0.0191535,26.1732,-1.14649,4.08154
0.0200281,27.8906,-1.19229,3.91131
0.0209547,29.6827,-1.23778,3.71621
0.0219364,31.6154,-1.28441,3.48356
0.0231369,33.7584,-1.33335,3.19643
0.0244285,36.036,-1.38232,2.85267
0.0258182,38.3652,-1.42934,2.45313
0.0273134,40.7225,-1.47387,1.99184
0.028922,43.082,-1.51531,1.46271
0.0306527,45.4157,-1.553,0.860131
0.0325148,47.6927,-1.58618,0.179734
0.0345183,49.8796,-1.61401,-0.582708
0.0366737,51.9402,-1.63565,-1.43037
0.0389928,53.8368,-1.65033,-2.36337
0.0414879,55.5316,-1.65739,-3.37996
0.0441724,56.9901,-1.65638,-4.4755
0.0470606,58.1836,-1.64714,-5.644
0.050168,59.0927,-1.62976,-6.87611
0.0535113,59.709,-1.60469,-8.16286
0.0571083,60.0328,-1.57245,-9.49635
0.0609783,60.0616,-1.53311,-10.8618
0.0651421,59.7626,-1.48612,-12.2682
0.0696219,58.991,-1.4235,-13.6777
0.0744416,57.4505,-1.339,-15.0882
0.0796273,54.6677,-1.21741,-16.4172
0.0852064,49.9599,-1.04556,-17.5706
0.0912091,43.4028,-0.836461,-18.4789
0.0952065,36.8676,-0.641184,-19.0482
0.0985148,30.9272,-0.480076,-19.3827
0.101253,25.5917,-0.350297,-19.5777
0.103519,20.9961,-0.249307,-19.7098
0.105394,17.1447,-0.175,-19.7914
0.106946,13.97,-0.121362,-19.8494
0.10823,11.3768,-0.083578,-19.8908
0.109293,9.26721,-0.0572464,-19.9221
0.110173,7.55293,-0.0390533,-19.9465
0.110901,6.15909,-0.0265532,-19.966
0.111503,5.02416,-0.0179988,-19.9818
0.112002,4.09839,-0.0121624,-19.9948
0.112415,3.34181,-0.00819069,-20.0054
0.112756,2.7224,-0.00549429,-20.0141
0.113039,2.21447,-0.00366812,-20.0213
0.113273,1.79736,-0.0024347,-20.0273
0.113467,1.45441,-0.00160434,-20.0323
0.113627,1.17213,-0.00104758,-20.0364
0.113759,0.939578,-0.000676162,-20.0398
0.113869,0.747847,-0.00042999,-20.0426
0.11396,0.58967,-0.000268192,-20.0449
0.114035,0.459106,-0.000163017,-20.0469
0.114097,0.351285,-9.56589e-05,-20.0485
0.114149,0.262214,-5.33988e-05,-20.0498
0.114191,0.188607,-2.76634e-05,-20.0509
0.114227,0.127766,-1.27076e-05,-20.0518
0.114256,0.077464,-4.71934e-06,-20.0526
0.11428,0.0358691,-1.11147e-06,-20.0532
0.1143,0.0,0.0,-20.0535
