y,Ux,Uy,p
0.0,0.0,0.0,-82.8013
1.16038e-05,-0.0109472,1.38109e-07,-82.8013
2.5503e-05,-0.0235039,3.78839e-07,-82.8013
4.21714e-05,-0.0385009,8.15986e-07,-82.8012
6.21837e-05,-0.0564175,1.58675e-06,-82.8012
8.6237e-05,-0.0778229,2.84865e-06,-82.8011
0.000115177,-0.10339,4.80226e-06,-82.801
0.000150032,-0.133911,7.70371e-06,-82.8009
0.000192049,-0.170307,1.1856e-05,-82.8008
0.000242745,-0.213645,1.75666e-05,-82.8008
0.000303965,-0.265139,2.50358e-05,-82.8007
0.00037795,-0.326141,3.41024e-05,-82.8008
0.00046743,-0.398123,4.37064e-05,-82.8009
0.000575724,-0.482611,5.08029e-05,-82.8013
0.000706877,-0.58108,4.82316e-05,-82.8019
0.00086581,-0.694755,2.06204e-05,-82.8031
0.00105852,-0.824294,-6.33778e-05,-82.8051
0.00129231,-0.969263,-0.000265622,-82.8082
0.00157607,-1.12732,-0.000705389,-82.8133
0.00192067,-1.29294,-0.00160862,-82.8214
0.00233931,-1.45545,-0.00339754,-82.8341
0.00284812,-1.59609,-0.00685459,-82.854
0.00346676,-1.68357,-0.0134201,-82.8849
0.00421919,-1.66754,-0.0256528,-82.9311
0.00513467,-1.49781,-0.0452191,-82.9872
0.00587565,-1.20427,-0.0693829,-83.0419
0.00652515,-0.849057,-0.095289,-83.0914
0.00709776,-0.457571,-0.122365,-83.1352
0.00760626,-0.0491403,-0.149858,-83.1726
0.00806181,0.364787,-0.177277,-83.204
0.00847431,0.778322,-0.204374,-83.2299
0.00885252,1.18951,-0.23109,-83.2512
0.00920431,1.59923,-0.257509,-83.2684
0.00953684,2.01041,-0.283828,-83.2821
0.00985666,2.41871,-0.309769,-83.2929
0.0101432,2.81235,-0.334594,-83.3008
0.0104085,3.18903,-0.35817,-83.3059
0.0106555,3.55251,-0.380739,-83.309
0.0108868,3.90393,-0.402381,-83.3103
0.0111047,4.24454,-0.423181,-83.3101
0.011311,4.57563,-0.443222,-83.3086
0.0115073,4.89843,-0.462588,-83.306
0.0116952,5.21413,-0.481354,-83.3025
0.0118757,5.52383,-0.499589,-83.2981
0.0120499,5.82854,-0.517357,-83.293
0.0122188,6.12917,-0.534714,-83.2872
0.012383,6.42657,-0.551708,-83.2807
0.0125432,6.72147,-0.568384,-83.2735
0.0127,7.0092,-0.584482,-83.2661
0.0128426,7.29142,-0.600103,-83.2583
0.0129967,7.5879,-0.616331,-83.2494
0.0131635,7.91362,-0.633939,-83.2389
0.0133446,8.27264,-0.653073,-83.2266
0.0135418,8.66974,-0.673899,-83.2122
0.0137571,9.11058,-0.696596,-83.1953
0.013993,9.60189,-0.721361,-83.1753
0.0142522,10.1517,-0.748402,-83.1517
0.0145382,10.7695,-0.777934,-83.1236
0.0148549,11.4667,-0.810168,-83.0901
0.015207,12.2566,-0.845292,-83.0501
0.0156001,13.1553,-0.883448,-83.0019
0.0160408,14.2046,-0.925603,-82.942
0.0165772,15.4548,-0.972546,-82.8659
0.0171859,16.9163,-1.0231,-82.7702
0.0178791,18.5955,-1.07582,-82.6501
0.0186712,20.5171,-1.12977,-82.4971
0.0195793,22.7016,-1.18395,-82.2988
0.0206241,25.1622,-1.23755,-82.0373
0.0218301,27.9036,-1.29029,-81.6873
0.0232267,30.9229,-1.3424,-81.2144
0.0248493,34.2106,-1.39414,-80.574
0.02674,37.7483,-1.4449,-79.7085
0.0289496,41.4979,-1.49267,-78.5455
0.0315392,45.3833,-1.53404,-76.9937
0.0345821,49.2726,-1.56487,-74.9592
0.0381665,52.9668,-1.57968,-72.3272
0.0423987,56.2072,-1.57478,-69.0529
0.0474067,58.7174,-1.54587,-65.07
0.0533446,60.2513,-1.49683,-60.6732
0.059148,60.8355,-1.4446,-56.5055
0.0650305,60.7219,-1.38815,-52.6459
0.0709979,59.8676,-1.32006,-49.1601
0.0770568,57.9112,-1.22621,-46.0096
0.0832712,54.3252,-1.09357,-43.428
0.0887813,49.2911,-0.937018,-41.6058
0.0931161,43.6292,-0.775469,-40.4659
0.0967179,37.8719,-0.623388,-39.8474
0.0997107,32.3561,-0.488739,-39.4937
0.102197,27.3178,-0.373605,-39.3209
0.104264,22.868,-0.279913,-39.2398
0.105981,19.0304,-0.205937,-39.2129
0.107407,15.7746,-0.149338,-39.2125
0.108593,13.0423,-0.106984,-39.2252
0.109578,10.7647,-0.0758718,-39.2435
0.110396,8.87371,-0.0533461,-39.2633
0.111076,7.30696,-0.0372266,-39.2826
0.111641,6.01008,-0.0257993,-39.3005
0.112111,4.93684,-0.0177619,-39.3164
0.112501,4.04854,-0.0121471,-39.3304
0.112825,3.31308,-0.00824892,-39.3426
0.113095,2.7039,-0.00555836,-39.353
0.113319,2.1991,-0.00371224,-39.3619
0.113505,1.78063,-0.00245337,-39.3695
0.113659,1.4336,-0.00160084,-39.3758
0.113788,1.14572,-0.00102811,-39.3812
0.113894,0.906839,-0.000647029,-39.3857
0.113983,0.708573,-0.00039653,-39.3895
0.114057,0.543983,-0.000234444,-39.3927
0.114118,0.407325,-0.000131783,-39.3953
0.114169,0.293842,-6.87098e-05,-39.3975
0.114211,0.199593,-3.17514e-05,-39.3994
0.114247,0.12131,-1.18577e-05,-39.401
0.114276,0.0562825,-2.80017e-06,-39.4022
0.1143,0.0,0.0,-39.4028
